IDHabitacion,IDReserva
448,2582
105,2854
929,2759
410,2505
4,2560
971,2307
142,2662
134,2853
390,2919
787,2235
599,2117
611,2370
892,2217
421,2590
751,2994
827,2806
538,2874
755,2048
778,2437
130,2226
144,2492
555,2147
444,2208
580,2608
32,2469
568,2622
371,2551
11,2167
400,2267
118,2444
713,2839
686,2638
910,2218
997,2760
325,2717
756,2046
459,2942
93,2673
381,2426
632,2310
804,2206
301,2109
858,2445
120,2802
83,2960
246,2012
655,2737
160,2010
149,2364
235,2441
220,2567
596,2629
284,2278
323,2040
670,2055
947,2712
651,2033
108,2246
51,2810
24,2148
507,2369
82,2439
287,2827
747,2203
350,2139
442,2434
219,2371
10,2100
255,2181
360,2137
141,2808
380,2416
829,2715
324,2115
649,2037
933,2669
531,2594
292,2074
823,2270
50,2667
841,2633
860,2665
725,2373
955,2079
427,2261
323,2332
774,2392
656,2597
790,2833
78,2512
929,2010
663,2597
373,2698
627,2916
682,2482
926,2744
743,2252
509,2471
801,2396
144,2859
160,2412
386,2957
595,2960
845,2243
406,2438
511,2672
453,2257
783,2255
128,2502
563,2509
847,2622
900,2501
758,2517
484,2583
321,2864
388,2161
294,2438
947,2919
926,2172
635,2441
927,2631
502,2159
727,2067
525,2715
252,2721
98,2868
840,2887
453,2623
119,2420
612,2599
513,2644
397,2238
552,2962
449,2246
412,2559
229,2820
866,2908
583,2209
672,2109
276,2370
856,2800
385,2242
640,2631
616,2286
687,2147
485,2235
762,2006
168,2485
882,2615
996,2755
964,2106
818,2814
278,2650
833,2079
247,2921
587,2822
435,2583
775,2311
503,2635
757,2555
48,2111
928,2991
666,2427
623,2074
529,2714
527,2803
763,2284
996,2917
994,2621
347,2670
718,2161
186,2466
6,2512
25,2359
123,2572
901,2425
366,2187
159,2653
286,2491
833,2144
936,2176
195,2927
103,2313
607,2844
748,2813
966,2765
335,2494
188,2372
600,2481
415,2901
420,2277
428,2583
784,2042
499,2431
523,2024
639,2199
694,2953
220,2723
988,2162
972,2358
539,2110
757,2121
112,2384
205,2914
676,2446
984,2152
464,2760
854,2554
443,2569
700,2834
342,2313
3,2910
159,2868
787,2338
84,2465
210,2805
677,2305
354,2207
215,2643
137,2660
779,2512
366,2553
979,2912
205,2531
837,2576
650,2353
680,2037
769,2075
582,2995
74,2920
79,2855
200,2775
200,2644
108,2730
405,2491
653,2578
414,2815
76,2989
638,2045
671,2511
178,2775
12,2604
92,2158
407,2208
849,2950
756,2387
138,2147
825,2896
930,2378
58,2775
627,2933
956,2508
538,2054
467,2621
833,2122
149,2097
310,2100
172,2884
25,2733
494,2083
199,2308
102,2875
446,2103
493,2458
362,2839
756,2155
718,2179
295,2614
47,2340
872,2726
388,2225
150,2434
407,2509
50,2045
58,2352
40,2459
655,2532
276,2836
101,2470
411,2674
156,2932
550,2105
397,2215
680,2006
426,2012
518,2112
79,2905
957,2343
420,2872
939,2746
670,2606
999,2207
782,2957
694,2810
51,2911
230,2744
920,2932
760,2097
530,2758
67,2376
810,2058
390,2545
675,2566
479,2965
558,2352
315,2522
486,2893
161,2337
790,2576
815,2470
347,2873
806,2151
68,2273
689,2815
192,2134
705,2505
916,2136
584,2582
484,2504
966,2758
693,2238
858,2531
133,2764
20,2740
470,2351
751,2630
532,2652
491,2111
999,2828
826,2620
319,2042
869,2699
393,2587
804,2052
148,2191
776,2922
902,2016
513,2670
806,2427
471,2528
217,2670
429,2527
735,2620
682,2633
325,2817
331,2997
978,2199
403,2897
941,2671
22,2956
73,2873
576,2263
672,2922
92,2192
343,2162
115,2152
916,2392
559,2658
313,2367
692,2819
516,2946
56,2678
360,2103
364,2381
597,2451
953,2831
59,2147
996,2169
491,2571
379,2714
219,2555
676,2520
591,2792
681,2142
186,2308
930,2990
654,2117
