id,capacidad,precio,tamanio,diasReservados,fechaCreacion,habilitada,operador
4001,5,199.1,360.0,31,2019-10-29,0,--enardrup3w
4002,9,800.17,164.9,38,2018-09-17,1,--mocannankq
4003,15,891.26,417.7,56,2020-04-05,1,--lgilleasegz
4004,15,690.77,47.3,78,2019-08-03,1,--dsantrykb
4005,3,177.83,116.0,71,2018-06-03,1,--abuddellc4
4006,8,243.01,396.1,38,2019-10-09,1,--kseydlitzhz
4007,5,943.71,306.2,69,2018-05-03,1,--bgilbert3r
4008,3,627.46,197.4,51,2018-02-12,1,--kpesekoc
4009,8,585.88,448.0,30,2019-11-07,0,--jbaalham7j
4010,14,26.97,239.2,52,2018-01-03,1,--gpavett7u
4011,18,391.25,225.5,32,2019-01-18,0,--jdowryn4
4012,14,867.27,258.3,93,2017-12-29,1,--edickeyfo
4013,18,666.65,33.6,60,2018-08-25,0,--cdrewryed
4014,16,518.55,67.0,62,2018-04-01,1,--gkennedydr
4015,18,467.3,274.6,25,2018-12-02,1,--atorettagd
4016,18,970.13,423.7,83,2018-06-17,1,--dboxhillcn
4017,16,903.88,440.3,63,2019-12-10,1,--tnultykf
4018,19,652.49,131.5,72,2019-02-18,1,--rbubeer4y
4019,12,692.12,235.3,28,2018-09-07,1,--bdeeganhx
4020,2,146.02,456.9,9,2019-03-25,0,--acopelandes
4021,5,139.8,297.9,24,2019-03-04,0,--agreest3s
4022,19,685.79,430.8,45,2019-09-05,1,--sdunbobinl
4023,9,440.37,66.2,88,2018-07-06,1,--sgrigorianp8
4024,12,389.48,349.5,36,2017-08-20,1,--gclevelandln
4025,20,541.32,478.4,54,2018-02-13,0,--hgethingsr3
4026,20,462.48,401.0,33,2019-08-02,1,--lreadwinht
4027,4,707.86,272.8,95,2017-12-07,1,--agreest3s
4028,14,579.04,376.9,77,2018-07-09,1,--jstarmontmc
4029,6,665.93,243.6,43,2017-11-27,1,--cliebg8
4030,19,75.48,66.8,13,2019-03-29,1,--brimbaultqs
4031,3,211.74,463.8,11,2018-02-19,1,--pwyllisd6
4032,15,629.74,165.9,55,2019-05-23,0,--esendallja
4033,20,162.2,166.1,26,2018-10-03,0,--syashunin2f
4034,16,622.33,427.0,26,2018-06-17,0,--cboudlv
4035,1,127.23,34.7,17,2017-08-19,0,--nbedleew
4036,19,819.65,266.3,76,2018-07-01,0,--jpatty9i
4037,10,984.85,173.2,44,2019-01-12,0,--nyerbornb6
4038,11,328.63,189.6,33,2017-09-23,0,--fgonnet8q
4039,3,828.68,282.2,86,2020-05-11,0,--lkilborn4u
4040,18,780.17,113.3,95,2019-03-31,0,--svenessld
4041,8,285.31,183.6,98,2020-05-07,1,--enardrup3w
4042,3,894.58,220.1,29,2020-01-02,0,--mgairkl
4043,7,409.72,215.6,31,2017-10-16,1,--adescroixat
4044,18,586.48,40.2,72,2018-11-30,1,--kbillingslyez
4045,8,153.01,162.3,27,2019-11-18,0,--aarman86
4046,15,235.37,153.4,27,2017-09-08,1,--mstrettlei6
4047,12,222.64,480.2,38,2018-03-01,1,--agregorattije
4048,1,850.89,453.9,68,2018-01-24,1,--gjustis8t
4049,16,428.04,202.5,65,2019-03-29,0,--jgavanz
4050,19,205.82,326.3,89,2017-10-26,1,--mbattillcx
4051,5,856.13,275.2,80,2018-02-02,0,--gpavett7u
4052,12,113.12,166.4,100,2018-03-20,1,--mhenner64
4053,19,863.65,393.5,28,2018-05-21,0,--ncrasswellfz
4054,8,529.1,485.8,58,2018-12-26,1,--mchattenrk
4055,7,634.11,184.7,13,2019-04-08,1,--pastupenas6h
4056,13,277.6,353.1,34,2018-01-02,1,--blabrohi
4057,16,906.07,13.6,77,2018-02-01,1,--gpetettaj
4058,11,222.04,157.6,51,2018-03-05,1,--jlembke43
4059,10,389.28,499.4,71,2019-08-02,1,--sschubart16
4060,15,17.87,140.9,27,2018-02-06,0,--ablestpo
4061,1,330.64,173.9,65,2019-04-02,1,--lmatyushonoknh
4062,17,133.96,85.2,85,2018-09-04,1,--agreest3s
4063,3,299.27,411.9,46,2018-09-02,1,--amacpaden5c
4064,11,353.97,287.5,48,2020-04-15,1,--achell7a
4065,15,191.34,299.1,40,2017-12-23,1,--esendallja
4066,14,660.45,222.0,61,2019-12-24,1,--svasilenko1d
4067,19,220.94,205.7,57,2019-03-29,1,--ajeannaudl2
4068,2,811.66,415.9,39,2020-01-19,0,--rcleoburydp
4069,13,974.58,379.2,29,2020-05-18,0,--dfattorinigy
4070,3,235.11,358.1,5,2019-07-01,1,--mtoffanocj
4071,5,644.87,447.4,7,2019-04-28,1,--bpheasant3o
4072,12,416.76,159.2,54,2020-02-02,0,--ainglestong4
4073,20,771.04,382.2,73,2018-11-15,0,--glotheringtonmx
4074,3,424.21,411.2,38,2018-01-30,0,--gmcgarahandg
4075,7,801.27,288.7,65,2018-10-17,0,--hhitchens4a
4076,15,36.49,84.3,91,2019-10-28,1,--bwillisonot
4077,4,890.84,94.0,92,2018-11-10,0,--fjiranf
4078,6,340.0,80.0,53,2020-04-20,1,--adoddemeadeae
4079,3,567.15,68.8,28,2019-05-10,1,--fdanelet30
4080,12,96.01,101.9,85,2019-03-17,1,--lcregganq9
4081,13,498.39,170.7,39,2017-10-31,0,--ebattramcb
4082,4,597.04,287.5,24,2019-10-06,1,--mstrettlei6
4083,8,738.44,457.0,11,2019-07-22,1,--fdallicotta6
4084,3,653.17,210.1,18,2018-04-14,0,--lkilborn4u
4085,8,761.45,473.1,80,2019-11-04,0,--ffoskenke
4086,20,957.51,157.6,29,2020-02-03,0,--cdrewryed
4087,16,847.99,460.3,4,2019-01-29,1,--kopdenorths
4088,9,463.04,358.0,74,2020-02-19,1,--mathersmith3z
4089,20,283.43,106.7,10,2019-01-11,0,--svenessld
4090,9,913.53,36.8,42,2018-05-23,0,--sconneely9n
4091,7,371.55,395.1,22,2018-06-02,0,--bcrameqf
4092,7,603.09,420.1,87,2018-03-28,1,--kgoodramj0
4093,20,932.85,432.1,18,2018-07-28,0,--kgoodramj0
4094,12,329.08,180.3,50,2019-10-27,1,--tgresteqb
4095,14,50.45,192.6,0,2018-02-21,1,--rdeschlein6s
4096,14,323.14,111.7,10,2018-05-29,1,--bmcterrellyh
4097,9,653.94,37.9,90,2019-10-03,0,--jbaalham7j
4098,6,492.4,96.9,68,2018-03-29,1,--mtomich2b
4099,14,439.66,472.1,78,2019-01-01,1,--blindberge2
4100,3,598.99,188.2,42,2020-05-06,1,--gnorrien3
4101,14,166.95,272.1,72,2019-12-04,1,--hjoncicpd
4102,10,69.43,184.8,22,2019-03-07,1,--cboudlv
4103,20,163.92,489.7,29,2018-05-10,0,--hkremero3
4104,3,468.72,178.9,88,2018-05-01,0,--wsaphinov
4105,14,57.89,25.8,70,2017-10-08,1,--wgorek1
4106,1,286.34,334.0,36,2019-09-29,1,--dbynehu
4107,4,147.08,93.9,46,2018-09-01,1,--edevita47
4108,5,192.18,119.2,24,2018-04-01,0,--hhowellaf
4109,20,530.01,469.4,78,2020-03-29,1,--claced8
4110,18,796.18,475.6,12,2018-12-23,1,--eauchterlonym0
4111,9,547.1,388.2,40,2018-03-05,1,--pmaryet2q
4112,6,192.06,246.9,85,2017-09-13,1,--hyoutheadgh
4113,6,887.67,167.3,82,2018-06-21,0,--tsobeyiq
4114,11,11.08,209.1,31,2019-10-17,0,--ebedding2u
4115,2,838.92,403.9,14,2019-04-02,1,--kgiacobo4e
4116,9,393.37,214.6,0,2017-10-06,0,--acopelandes
4117,4,933.87,405.5,65,2019-01-10,1,--jpedrolfs
4118,17,442.04,194.1,59,2017-08-28,0,--dsamweyesc6
4119,5,677.65,330.7,5,2017-11-05,0,--cjubb9
4120,18,17.71,213.1,86,2020-01-31,0,--mtoffanocj
4121,16,725.85,29.7,8,2020-03-22,1,--grickwood5a
4122,9,784.25,228.0,29,2019-08-08,0,--dpennuzzi6i
4123,7,318.93,236.9,92,2019-09-06,0,--aguppynx
4124,16,64.82,206.8,54,2019-05-28,0,--nbramwich89
4125,1,976.46,168.4,9,2019-05-13,0,--ggeakeev
4126,13,311.3,252.7,56,2020-02-01,0,--gpinockgs
4127,9,855.51,162.8,11,2019-07-20,1,--sconneely9n
4128,9,38.2,117.6,71,2018-08-12,0,--arommei3
4129,2,869.46,15.8,40,2020-02-26,0,--charden8f
4130,15,471.84,290.7,56,2019-02-22,1,--hwetherill38
4131,7,840.15,110.9,86,2018-06-10,0,--ayorkby
4132,11,295.09,314.7,14,2018-02-23,1,--rdennistonf8
4133,9,457.9,371.2,0,2018-01-03,1,--gbeltmk
4134,20,429.59,459.9,85,2018-10-23,0,--dnanniniqi
4135,16,917.24,97.5,34,2019-11-08,0,--nsongestaw
4136,19,305.99,408.8,85,2018-10-06,0,--bwildsmithcv
4137,4,645.34,420.8,86,2018-07-01,1,--bsavillav
4138,17,727.78,479.3,12,2020-05-14,1,--brathbourneu
4139,7,707.19,207.3,64,2018-10-12,0,--cegdalcl
4140,9,549.87,213.0,24,2018-09-10,1,--isibillee6
4141,16,455.12,145.0,27,2019-01-29,1,--rsearightia
4142,7,108.81,376.6,99,2020-04-07,0,--tbaudreykr
4143,18,131.04,269.6,68,2019-11-25,0,--jedkinslb
4144,4,831.03,148.5,60,2019-12-19,0,--gmanser3c
4145,11,63.84,391.2,90,2017-09-21,1,--tbows9p
4146,13,274.35,197.5,97,2017-09-23,1,--alampelq
4147,2,459.9,410.6,15,2018-07-26,1,--whanwrightme
4148,18,122.71,145.1,77,2018-08-14,0,--amitroshinov1i
4149,5,381.84,241.6,88,2019-12-06,0,--dsaunderson46
4150,20,668.34,288.3,98,2018-06-28,0,--scaslettfx
4151,20,903.78,250.0,69,2019-06-09,0,--apuleque39
4152,15,548.83,276.5,31,2019-08-23,1,--kgarraway2h
4153,11,903.02,12.2,20,2019-04-03,1,--rpogosiankw
4154,18,519.36,409.0,96,2019-05-19,0,--lsinclairqd
4155,8,457.2,141.7,100,2019-02-03,1,--tspurnier2l
4156,15,779.36,461.3,61,2019-02-18,1,--hmarchingtonq4
4157,17,575.18,80.5,53,2019-02-25,1,--nethridgeg0
4158,16,379.44,181.2,89,2018-11-19,0,--ddavidovitsbs
4159,3,537.28,298.4,79,2018-09-20,1,--dlangwade3f
4160,12,870.38,292.3,70,2019-12-26,0,--wgrundonej
4161,13,420.71,494.8,75,2019-08-09,0,--dlosbiep9
4162,15,123.14,297.6,39,2020-01-14,1,--wargerls
4163,13,279.92,47.8,35,2019-05-27,0,--aguppynx
4164,18,56.38,276.1,14,2018-08-29,0,--vwickenfw
4165,15,438.95,243.5,5,2017-08-29,0,--rmillmored7
4166,11,472.36,245.6,54,2020-05-13,1,--ckener2v
4167,2,335.21,86.8,84,2018-01-21,0,--wgorek1
4168,13,550.6,294.5,63,2019-01-12,0,--idenizet5g
4169,19,170.36,45.2,40,2019-05-18,0,--kgrabham18
4170,3,703.74,144.1,62,2019-02-24,1,--olampert76
4171,18,971.6,248.3,43,2018-10-24,0,--cboudlv
4172,6,452.91,274.1,33,2019-01-11,0,--glickorishh2
4173,4,737.38,183.4,23,2017-09-26,1,--jpatty9i
4174,6,624.97,375.3,73,2017-11-22,0,--dmayerso9
4175,15,715.76,111.3,64,2019-12-30,0,--kchampeiv
4176,6,604.86,411.3,56,2018-08-19,1,--adonlonmo
4177,8,965.83,281.8,23,2018-04-03,1,--arenakgx
