id,capacidad,precio,tamanio,diasReservados,fechaCreacion,habilitada,operador
2001,1,688.6,185.5,44,2018-05-21,0,_-cknightleye3
2002,16,704.12,292.0,45,2019-06-09,1,_-mernkeq1
2003,16,910.08,121.9,13,2019-04-30,0,_-rjeanning0
2004,6,968.84,317.2,41,2019-07-22,0,_-lellingsax
2005,11,254.01,372.1,67,2018-03-24,1,_-lalenie
2006,10,673.42,213.9,39,2019-09-01,1,_-rnarramorb4
2007,4,960.8,277.2,14,2019-08-01,1,_-efoxcroftc5
2008,10,22.58,367.6,8,2017-09-24,0,_-wrathkepl
2009,17,204.37,179.3,90,2019-07-03,1,_-dwimbushnq
2010,12,354.03,101.4,87,2018-12-24,0,_-lpughr
2011,3,170.64,358.7,25,2020-05-18,0,_-fmidgely7z
2012,11,730.35,234.8,13,2019-10-28,0,_-aatyeodg
2013,18,558.94,102.2,84,2019-09-03,0,_-bsherred20
2014,18,307.09,131.9,62,2020-02-07,1,_-oleeson7a
2015,6,787.35,435.9,76,2018-07-02,0,_-askipperfa
2016,17,428.42,405.6,26,2019-02-25,1,_-lograda97
2017,3,354.33,427.0,9,2019-10-22,1,_-acalrowki
2018,19,868.72,33.1,84,2019-06-01,0,_-ddelythg3
2019,10,404.89,154.0,33,2018-09-27,1,_-tmaclleeseaa
2020,20,200.04,471.6,15,2018-08-21,1,_-ayanshinovml
2021,3,389.73,37.2,70,2019-07-23,1,_-dvandrielmd
2022,8,726.37,316.3,80,2019-08-22,0,_-mmoinen4
2023,16,285.12,329.1,87,2018-03-15,1,_-jeynaud88
2024,4,638.37,113.0,75,2019-04-12,1,_-fvanyov
2025,16,478.81,469.6,2,2018-09-10,1,_-ajekel3b
2026,3,237.95,283.3,82,2018-06-16,0,_-cfilmer2p
2027,17,39.03,317.0,22,2020-04-16,0,_-cebden73
2028,6,519.21,11.9,88,2018-03-26,1,_-mmorsombw
2029,18,868.99,77.3,20,2019-01-07,0,_-cborleace4j
2030,15,264.7,92.8,47,2018-09-11,1,_-ebiseth8
2031,20,829.09,200.3,74,2018-09-02,1,_-mdockreaybi
2032,14,185.44,367.0,42,2020-03-07,0,_-egridley3s
2033,13,878.09,377.4,14,2019-06-10,0,_-aohernau
2034,12,352.16,413.5,3,2017-10-09,0,_-iloosmorege
2035,12,257.48,260.2,72,2018-05-06,0,_-hjaffraef
2036,14,591.17,116.8,50,2018-03-23,0,_-cfaichnie3z
2037,15,264.91,329.7,89,2019-09-09,0,_-tperetlt
2038,4,677.63,143.1,53,2017-09-02,1,_-rsetterthwaitbk
2039,7,413.0,369.2,64,2017-09-16,0,_-rsetterthwaitbk
2040,15,592.08,61.2,40,2019-05-14,0,_-lfeighney5
2041,11,139.58,247.7,4,2018-07-19,0,_-bhuckabeqe
2042,19,49.09,291.6,45,2020-01-05,0,_-rwinghamdz
2043,12,482.27,395.2,18,2017-11-16,0,_-rpyecroftm2
2044,6,692.57,309.9,69,2020-03-05,0,_-rleathemjc
2045,14,602.79,333.3,83,2020-03-30,0,_-mlembrick6c
2046,18,553.09,99.7,28,2018-10-09,1,_-ahaffendenic
2047,19,11.63,355.0,72,2019-02-13,1,_-rallnatt64
2048,11,662.57,264.0,87,2018-05-30,1,_-fbritton9q
2049,10,307.69,39.8,90,2020-05-09,0,_-fgouck1f
2050,16,353.72,22.3,49,2019-04-23,1,_-lbrackleyd6
2051,7,212.71,326.9,33,2020-03-24,0,_-nolohanpi
2052,17,334.13,453.7,47,2017-10-24,1,_-bamiesn0
2053,8,30.39,423.5,100,2018-03-26,1,_-lregikj
2054,11,412.36,189.2,100,2019-05-13,0,_-nphidginlz
2055,4,930.42,421.5,90,2018-01-12,1,_-tdowbakind8
2056,14,479.13,499.0,11,2019-11-08,1,_-lcotesford8z
2057,2,747.85,18.1,0,2020-05-07,1,_-osandesoneg
2058,19,150.91,484.7,44,2020-03-05,0,_-dleyband16
2059,14,226.65,298.0,10,2017-12-24,0,_-amacauleyox
2060,5,665.46,476.1,12,2017-12-11,1,_-frosellini2k
2061,18,659.04,29.5,12,2017-12-17,0,_-ckuschel4b
2062,20,18.47,395.1,90,2020-01-10,0,_-cocannonv
2063,3,88.66,288.4,24,2020-04-20,1,_-zklimkov2h
2064,8,649.8,338.3,23,2018-09-28,1,_-wmclevierc
2065,19,287.12,319.8,0,2020-02-21,1,_-dastbury7v
2066,13,138.63,490.8,86,2019-12-21,1,_-wmclevierc
2067,5,778.63,443.7,70,2019-03-15,0,_-rtrowhy
2068,6,502.52,398.2,97,2018-03-03,1,_-cmorvillegh
2069,5,360.36,162.1,21,2019-09-03,1,_-hebben70
2070,5,59.43,359.3,20,2018-07-03,1,_-stimby8m
2071,7,768.31,458.3,90,2019-05-04,1,_-kmorsomhv
2072,1,284.43,353.4,100,2019-08-28,1,_-dpoureas
2073,12,90.81,280.2,97,2019-04-27,1,_-bharnelldv
2074,4,384.69,499.8,38,2017-10-20,0,_-jgilbart6p
2075,17,633.18,222.2,52,2020-02-16,0,_-mgibbinsca
2076,12,626.73,18.4,29,2018-03-12,0,_-knarbettpa
2077,17,895.89,153.8,67,2019-06-10,0,_-kscotchmer41
2078,4,926.01,79.3,59,2020-04-07,0,_-fdollardp8
2079,10,752.76,257.4,15,2017-09-15,0,_-ktosney7j
2080,6,455.12,495.1,88,2020-02-14,0,_-tdron44
2081,13,142.79,410.4,71,2018-06-24,0,_-opeagrim7o
2082,20,490.95,67.2,86,2018-02-17,1,_-adoigegt
2083,11,130.58,109.4,25,2018-07-02,0,_-fmourant2w
2084,18,59.08,110.9,16,2018-06-30,0,_-bhuckabeqe
2085,8,490.73,336.3,92,2018-07-08,1,_-bhardinghamgg
2086,9,358.37,231.7,54,2018-01-09,1,_-cdunseathj5
2087,14,945.36,418.5,90,2018-09-29,1,_-cperfectf0
2088,17,822.65,191.3,59,2019-01-14,0,_-martissl2
2089,14,133.3,396.4,42,2017-08-08,1,_-egillbeqc
2090,18,737.83,416.4,79,2020-03-07,1,_-sbarrott7g
2091,14,134.65,300.2,64,2018-06-28,1,_-llaffan2v
2092,16,325.54,27.1,23,2019-12-09,1,_-aohernau
2093,2,765.31,382.2,0,2018-08-24,1,_-astaddingcy
2094,15,465.91,325.5,9,2017-11-24,0,_-pbeameshx
2095,2,572.61,360.4,32,2018-10-28,1,_-blieber9d
2096,2,133.55,115.1,0,2018-12-26,0,_-sconklinp5
2097,9,153.24,350.5,33,2018-12-08,1,_-fkernaghannv
2098,2,391.87,399.5,54,2019-09-19,0,_-jhindmoorgy
2099,7,640.89,358.7,44,2020-01-13,1,_-acalrowki
2100,12,922.17,382.0,53,2018-09-20,1,_-jlivockz
2101,10,464.57,274.9,99,2019-04-12,1,_-emintram4v
2102,19,48.91,39.8,16,2019-06-18,0,_-mkretschmerqx
2103,4,908.0,214.3,22,2019-01-20,0,_-bkobpa5f
2104,16,616.87,91.7,48,2019-03-02,1,_-fsnelsonhw
2105,1,358.03,385.8,96,2019-08-27,0,_-nvinecombeey
2106,1,511.64,282.8,62,2018-04-28,0,_-akeenleysided1
2107,18,333.48,390.2,51,2018-11-01,1,_-hwoodingir
2108,16,677.47,200.1,52,2019-07-22,1,_-bblackettk5
2109,14,612.14,329.3,80,2017-12-25,0,_-mibbetsonpd
2110,10,688.45,372.9,76,2017-08-05,1,_-dberendsendf
2111,3,253.13,384.7,11,2019-06-29,1,_-mlockheadr6
2112,14,326.33,456.2,53,2018-05-09,1,_-abembridgego
2113,20,935.22,457.5,84,2019-11-19,1,_-kswabeyra
2114,5,654.67,443.0,90,2017-08-09,1,_-tburberry9k
2115,15,547.25,491.4,36,2019-06-02,0,_-cquilliganre
2116,2,877.04,275.4,67,2018-01-02,0,_-ldible10
2117,5,100.12,322.3,81,2020-01-17,1,_-phobdends
2118,4,265.84,446.0,4,2019-04-19,1,_-clukianov8h
2119,4,331.51,480.3,69,2017-09-28,1,_-gguyerji
2120,5,125.94,349.5,71,2018-10-05,0,_-pmawdittl
2121,20,303.87,448.8,74,2018-04-22,0,_-bhambricj9
2122,16,191.84,488.9,49,2017-12-23,0,_-fparsleyia
2123,1,632.0,335.3,27,2018-12-26,1,_-strinder71
2124,16,440.1,16.0,37,2018-09-03,1,_-mbroodom
2125,2,718.24,201.8,14,2019-12-16,0,_-hletch37
2126,9,197.01,166.5,73,2019-02-25,1,_-dwimbushnq
2127,8,138.23,487.3,42,2019-04-09,0,_-dshone4h
2128,16,111.42,194.5,22,2018-08-01,0,_-djosuweithc
2129,12,730.75,332.6,75,2017-11-29,1,_-jrishmanhm
2130,18,515.18,34.2,65,2019-02-24,1,_-kaspinalldt
2131,4,727.96,223.1,77,2020-05-09,0,_-aohanvey1b
2132,9,995.33,119.8,99,2018-07-06,0,_-everna36
2133,3,81.21,231.0,23,2020-02-28,1,_-sworldqk
2134,7,376.59,329.4,61,2018-06-28,1,_-ameralijk
2135,15,605.1,192.7,67,2018-07-26,1,_-sattewillq5
2136,3,376.85,382.2,90,2018-11-05,0,_-tshercliffqb
2137,5,516.18,60.7,72,2018-06-12,1,_-pmethveniz
2138,10,321.66,432.8,45,2019-08-27,0,_-wantonomoliii
2139,1,960.41,418.9,95,2017-10-09,0,_-abloomfielde9
2140,5,260.36,236.8,56,2018-03-07,0,_-pmcgrortyq4
2141,18,552.03,363.7,98,2018-06-09,1,_-sbeels5c
2142,3,567.1,483.9,28,2017-12-08,1,_-gblindtcs
2143,3,78.02,497.5,82,2017-12-26,0,_-lburburyec
2144,15,80.03,450.5,17,2020-04-07,1,_-dowbrickks
2145,7,726.89,223.5,3,2019-05-10,0,_-emitchelsonqm
2146,14,888.66,80.9,12,2018-04-24,1,_-bestickr9
2147,7,136.92,260.7,32,2019-11-02,0,_-bamiesn0
2148,16,504.58,396.2,39,2020-02-17,1,_-emaniong1
2149,3,294.12,30.3,62,2018-07-05,1,_-nolohanpi
2150,18,916.62,248.3,36,2018-10-04,1,_-mdonneko
2151,12,40.91,427.3,3,2018-07-27,1,_-apellitt3g
2152,15,395.76,362.6,42,2019-07-17,1,_-wdreelanlw
2153,4,912.09,214.8,66,2018-06-30,0,_-cwoolastonoz
2154,19,503.84,164.3,71,2019-11-27,1,_-nstrapp8n
2155,7,533.35,142.8,2,2018-09-28,1,_-zthornbarrowco
2156,20,364.67,369.3,24,2020-03-25,0,_-stosneymm
2157,14,567.57,233.3,88,2018-12-25,0,_-mluca6v
2158,12,435.68,198.0,87,2018-02-13,1,_-dstummeyer92
2159,11,124.93,70.1,68,2019-04-05,1,_-nvinecombeey
2160,19,103.58,458.2,20,2019-05-14,1,_-bvanvelde43
2161,4,173.73,42.4,19,2019-07-04,0,_-wdadsonln
