IDAPARTAMENTO,IDRESERVA
3466,1754
3182,1102
3397,1980
3318,1698
3338,1593
3406,1708
3215,1247
3559,1847
3141,1401
3193,1369
3002,1123
3349,1858
3476,1037
3970,1110
3950,1101
3549,1850
3814,1866
3039,1802
3046,1854
3118,1408
3791,1325
3893,1208
3148,1503
3495,1714
3740,1917
3724,1203
3066,1881
3603,1814
3197,1071
3200,1058
3096,1758
3076,1983
3909,1573
3589,1303
3234,1211
3521,1300
3642,1647
3424,1021
3130,1076
3499,1203
3631,1908
3362,1298
3577,1487
3909,1823
3218,1396
3029,1076
3987,1955
3834,1389
3319,1276
3003,1894
3612,1995
3638,1841
3328,1262
3243,1163
3492,1376
3396,1524
3925,1995
3594,1340
3069,1105
3024,1736
3374,1860
3574,1800
3409,1234
3146,1105
3378,1914
3233,1515
3488,1785
3906,1482
3821,1483
3972,1695
3628,1717
3167,1268
3803,1087
3101,1380
3094,1444
3634,1038
3657,1858
3302,1216
3169,1280
3415,1278
3610,1554
3889,1185
3262,1931
3019,1233
3435,1056
3352,1113
3830,1533
3300,1197
3207,1541
3644,1901
3112,1286
3020,1394
3286,1504
3134,1398
3286,1056
3589,1320
3189,1778
3581,1591
3135,1710
3721,1347
3636,1714
3219,1264
3269,1634
3676,1798
3743,1411
3367,1874
3786,1113
3194,1370
3208,1281
3605,1717
3057,1623
3652,1792
3756,1983
3067,1274
3248,1745
3384,1120
3800,1989
3181,1491
3681,1541
3306,1978
3818,1371
3679,1333
3566,1005
3298,1295
3220,1487
3415,1691
3615,1349
3308,1903
3826,1978
3840,1635
3247,1536
3537,1220
3673,1481
3704,1053
3621,1690
3711,1064
3732,1075
3899,1917
3364,1925
3793,1898
3604,1087
3038,1720
3174,1197
3847,1224
3784,1344
3153,1186
3072,1978
3930,1418
3156,1750
3755,1171
3013,1789
3968,1613
3465,1658
3247,1995
3002,1146
3183,1098
3270,1179
3047,1593
3966,1711
3355,1683
3634,1146
3217,1845
3563,1187
3580,1252
3320,1361
3190,1900
3956,1612
3885,1284
3905,1242
3928,1383
3260,1930
3987,1926
3203,1643
3619,1714
3096,1405
3165,1327
3385,1790
3606,1646
3841,1358
3014,1420
3626,1041
3599,1722
3861,1941
3626,1333
3575,1675
3394,1193
3611,1189
3917,1264
3196,1365
3884,1669
3144,1464
3261,1603
3194,1863
3662,1534
3433,1434
3493,1869
3032,1246
3642,1164
3219,1271
3238,1709
3181,1538
3795,1221
3631,1096
3704,1078
3645,1913
3115,1420
3240,1408
3475,1618
3190,1734
3145,1643
3832,1593
3777,1036
3115,1092
3602,1442
3183,1520
3016,1577
3103,1228
3548,1028
3464,1165
3119,1653
3161,1197
3153,1892
3147,1362
3130,1127
3856,1959
3485,1182
3264,1662
3050,1202
3945,1929
3257,1046
3541,1099
3107,1342
3114,1595
3185,1231
3917,1447
3635,1890
3411,1121
3492,1481
3213,1575
3382,1523
3077,1042
3907,1263
3797,1108
3497,1842
3558,1883
3434,1297
3446,1296
3853,1217
3279,1242
3533,1055
3052,1078
3827,1533
3288,1332
3490,1231
3735,1061
3389,1731
3956,1625
3380,1668
3683,1418
3558,1998
3361,1955
3043,1698
3141,1778
3418,1760
3522,1850
3337,1003
3414,1244
3056,1678
3934,1996
3621,1286
3223,1876
3247,1321
3369,1593
3532,1672
3811,1020
3326,1326
3888,1240
3940,1828
3652,1146
3034,1920
3487,1135
3048,1219
3593,1995
3352,1848
3794,1949
3592,1203
3564,1681
3525,1183
3414,1636
3020,1301
3137,1048
3182,1717
3469,1330
3313,1495
3775,1646
3384,1643
3932,1747
3049,1126
3493,1828
3043,1233
3773,1977
3211,1910
3513,1075
3143,1224
3974,1534
3712,1340
3464,1365
3282,1524
3160,1590
3840,1809
3238,1614
3619,1589
3619,1522
3938,1847
3454,1346
3323,1169
3499,1486
3057,1120
3691,1805
3851,1008
3865,1677
3937,1849
3107,1565
3480,1168
3963,1674
3449,1243
3677,1773
3883,1842
3574,1483
3981,1295
3197,1795
3775,1038
3019,1556
3284,1531
3493,1995
3090,1705
3686,1115
3660,1545
3745,1131
3896,1390
3232,1599
3147,1410
3618,1495
3963,1029
3142,1984
3190,1104
3690,1727
3350,1625
3604,1827
3139,1504
3543,1011
