IDHabitacion,IDReserva
297,3697
4,3569
459,3024
865,3675
555,3404
377,3360
725,3007
492,3433
10,3825
630,3978
216,3099
35,3756
87,3248
957,3364
789,3553
616,3811
92,3093
263,3056
75,3355
827,3074
399,3298
261,3002
480,3695
188,3820
591,3319
187,3798
142,3136
316,3974
250,3859
410,3388
490,3983
91,3679
371,3263
218,3134
440,3220
252,3223
370,3255
867,3730
573,3873
707,3778
832,3702
694,3460
458,3378
714,3836
842,3012
728,3684
727,3014
654,3683
196,3798
817,3133
75,3584
57,3487
882,3991
953,3422
276,3681
993,3333
768,3333
738,3669
105,3917
760,3293
742,3997
685,3017
768,3299
389,3803
904,3018
457,3034
738,3621
667,3130
817,3387
993,3982
307,3874
985,3501
619,3843
543,3424
939,3701
523,3181
516,3212
994,3306
183,3496
260,3691
971,3957
729,3389
335,3741
972,3182
845,3556
742,3315
729,3690
320,3838
85,3440
594,3474
948,3050
61,3684
483,3289
516,3184
257,3378
73,3723
138,3139
515,3709
187,3037
149,3657
718,3980
512,3547
26,3282
218,3077
936,3389
255,3828
345,3106
765,3271
393,3838
871,3060
583,3756
423,3307
447,3406
782,3541
233,3512
618,3477
970,3294
535,3133
461,3618
638,3284
893,3877
406,3258
358,3828
96,3816
959,3403
728,3451
366,3317
945,3001
890,3354
994,3032
955,3866
655,3240
243,3426
306,3234
505,3350
877,3983
397,3542
551,3340
139,3431
68,3977
789,3352
614,3502
597,3187
799,3695
383,3811
418,3789
819,3441
357,3397
442,3353
952,3121
733,3254
408,3330
366,3732
496,3092
469,3024
208,3261
243,3655
460,3222
546,3700
729,3105
489,3965
153,3732
748,3703
163,3596
437,3400
426,3379
251,3130
246,3308
723,3546
257,3035
360,3947
156,3778
387,3922
788,3668
665,3840
755,3964
893,3001
864,3062
813,3466
290,3481
132,3254
608,3666
616,3572
541,3456
824,3379
751,3270
714,3605
560,3341
815,3333
537,3290
87,3693
289,3355
739,3098
346,3992
439,3959
261,3231
426,3296
625,3838
440,3457
99,3640
523,3615
188,3235
312,3486
434,3149
394,3723
964,3972
625,3295
429,3873
617,3191
737,3034
964,3466
833,3606
428,3135
793,3860
371,3866
353,3883
359,3449
630,3474
362,3621
323,3160
852,3614
766,3543
497,3047
170,3400
21,3433
996,3097
616,3240
730,3474
637,3707
939,3492
694,3991
198,3339
938,3263
835,3815
367,3839
439,3285
905,3475
661,3883
185,3739
905,3088
357,3735
781,3321
783,3491
463,3527
486,3944
768,3647
442,3918
14,3195
931,3603
967,3678
701,3470
892,3226
773,3781
352,3853
140,3985
587,3465
494,3289
796,3359
325,3243
986,3226
384,3828
98,3488
624,3425
455,3593
41,3812
535,3537
34,3447
770,3060
992,3461
557,3594
994,3820
20,3843
858,3239
344,3589
477,3957
198,3313
50,3496
594,3391
813,3952
247,3679
65,3386
103,3906
526,3006
184,3759
663,3776
281,3901
946,3623
529,3294
946,3179
670,3263
113,3539
372,3004
850,3067
889,3964
879,3227
687,3477
345,3585
340,3092
54,3984
160,3927
360,3577
411,3445
333,3248
656,3142
303,3508
774,3235
449,3086
220,3659
463,3131
408,3661
161,3529
483,3267
193,3388
956,3536
535,3121
499,3530
611,3024
377,3685
793,3635
963,3454
957,3148
835,3604
379,3500
302,3549
9,3822
155,3673
939,3502
585,3753
60,3031
374,3090
966,3260
632,3394
51,3517
819,3428
204,3200
910,3789
668,3970
38,3191
616,3867
683,3780
576,3593
621,3303
296,3149
214,3998
768,3120
145,3482
661,3044
240,3557
954,3052
42,3186
670,3651
956,3392
992,3526
339,3867
792,3407
852,3668
474,3715
171,3154
68,3034
529,3614
389,3947
794,3138
977,3524
718,3015
950,3977
559,3105
884,3508
474,3502
193,3807
916,3021
545,3847
875,3814
79,3988
728,3818
96,3917
764,3029
192,3953
505,3735
464,3509
334,3768
582,3218
993,3555
320,3478
650,3501
708,3725
418,3339
805,3463
647,3414
21,3631
773,3487
257,3715
518,3386
230,3140
871,3350
226,3023
748,3986
673,3825
835,3997
332,3863
742,3911
157,3779
300,3912
360,3238
996,3007
919,3682
919,3818
670,3201
127,3853
844,3498
645,3936
815,3917
633,3499
162,3509
82,3877
556,3796
297,3890
961,3648
230,3504
614,3593
128,3396
60,3353
417,3093
101,3047
340,3776
112,3129
387,3951
340,3455
833,3217
771,3634
444,3754
811,3535
574,3927
477,3128
674,3970
272,3352
35,3061
605,3012
165,3316
508,3918
594,3177
981,3442
308,3290
524,3814
159,3274
367,3312
257,3675
651,3291
698,3580
159,3657
26,3681
713,3515
400,3455
955,3334
67,3280
434,3908
666,3535
80,3644
721,3638
540,3106
851,3796
779,3308
640,3468
697,3058
100,3324
425,3684
162,3807
18,3142
469,3161
553,3523
922,3284
88,3014
298,3581
533,3266
842,3087
148,3471
850,3953
451,3321
330,3582
253,3397
63,3956
756,3462
38,3919
639,3517
741,3016
842,3984
809,3140
49,3724
573,3835
756,3080
310,3271
116,3959
319,3955
591,3398
322,3672
893,3803
574,3616
273,3561
590,3332
732,3112
640,3694
133,3959
844,3623
783,3979
213,3836
233,3473
140,3559
930,3335
299,3953
317,3573
159,3006
7,3120
273,3291
471,3372
640,3193
343,3048
906,3094
788,3332
732,3675
413,3945
538,3997
101,3859
570,3889
44,3921
675,3638
984,3109
992,3722
60,3975
52,3159
46,3619
666,4000
952,3029
56,3419
212,3024
787,3570
988,3844
93,3078
696,3517
303,3474
503,3204
503,3880
753,3439
334,3593
162,3657
726,3204
949,3590
482,3112
793,3014
584,3614
727,3116
48,3240
789,3912
499,3525
620,3946
343,3055
350,3747
202,3635
43,3209
26,3718
422,3246
702,3065
490,3242
397,3417
677,3492
427,3762
652,3984
150,3495
681,3384
205,3115
166,3001
899,3765
958,3692
713,3956
639,3587
232,3854
264,3097
739,3379
138,3270
647,3559
454,3796
133,3245
303,3952
452,3461
345,3643
416,3126
741,3091
36,3617
161,3137
145,3637
18,3034
845,3778
849,3296
748,3411
260,3104
136,3264
485,3838
311,3130
182,3065
867,3856
677,3909
451,3729
636,3142
377,3364
771,3127
592,3221
434,3218
841,3674
656,3365
453,3624
234,3398
997,3439
152,3097
551,3392
14,3512
529,3940
715,3741
554,3609
313,3097
241,3487
830,3766
275,3113
342,3879
851,3289
98,3304
306,3791
272,3189
390,3945
581,3967
325,3878
28,3356
40,3546
335,3881
487,3924
595,3711
741,3128
514,3931
195,3742
553,3099
342,3274
318,3361
954,3271
21,3789
244,3718
28,3986
787,3817
428,3420
929,3695
252,3043
73,3485
50,3998
607,3404
531,3733
779,3133
371,3614
516,3145
234,3104
190,3178
190,3278
930,3486
635,3670
243,3234
329,3382
56,3025
237,3978
557,3596
474,3984
828,3002
398,3068
786,3230
85,3404
465,3247
105,3531
406,3743
616,3781
160,3020
793,3697
233,3432
966,3352
907,3690
355,3996
589,3188
513,3048
679,3996
351,3659
782,3709
952,3039
718,3630
341,3859
411,3554
324,3196
937,3065
991,3372
612,3292
987,3792
531,3305
268,3623
842,3327
260,3021
628,3586
619,3324
663,3939
315,3499
525,3575
90,3981
568,3458
253,3092
834,3285
905,3721
96,3047
351,3248
915,3456
196,3242
810,3681
992,3701
868,3172
714,3329
526,3388
941,3176
273,3608
965,3172
117,3414
689,3967
42,3182
209,3410
140,3103
633,3192
69,3175
714,3900
126,3667
646,3829
397,3573
312,3138
151,3264
461,3420
731,3551
267,3846
775,3705
351,3081
263,3245
539,3378
64,3954
809,3921
597,3610
764,3801
875,3048
337,3374
115,3810
739,3246
190,3880
200,3790
706,3582
358,3899
928,3999
422,3135
833,3183
285,3354
448,3176
542,3541
701,3048
978,3171
382,3153
851,3777
538,3643
624,3405
907,3715
193,3474
550,3344
462,3934
626,3255
60,3746
191,3256
665,3709
516,3106
176,3064
335,3767
789,3507
801,3686
683,3585
401,3614
836,3605
328,3984
489,3053
962,3202
320,3108
499,3323
300,3328
697,3468
82,3807
983,3312
343,3715
392,3896
331,3782
472,3115
508,3078
74,3366
798,3966
175,3948
182,3319
605,3129
793,3247
177,3677
711,3287
563,3988
482,3654
847,3185
494,3625
198,3926
503,3677
785,3959
723,3790
620,3938
78,3687
729,3133
535,3915
864,3961
34,3491
340,3536
528,3944
339,3975
757,3639
848,3871
647,3753
38,3402
419,3676
422,3346
409,3203
994,3128
763,3365
689,3745
914,3458
153,3218
924,3799
4,3586
999,3022
117,3629
184,3260
289,3029
757,3073
811,3537
950,3839
959,3018
508,3741
672,3053
404,3717
511,3223
679,3281
194,3009
301,3964
675,3023
129,3400
898,3571
708,3084
463,3105
629,3044
928,3679
59,3990
95,3517
589,3533
323,3923
255,3013
87,3773
208,3522
247,3673
976,3622
613,3914
537,3256
389,3389
493,3510
905,3150
282,3611
92,3338
772,3182
129,3478
400,3706
139,3923
827,3165
408,3355
638,3166
713,3085
848,3940
826,3261
18,3993
222,3047
590,3287
44,3129
376,3198
659,3192
965,3773
178,3415
804,3184
744,3586
758,3004
814,3798
738,3161
97,3949
856,3690
782,3575
