id,tipo,precio,intervalo pago,propiedad
3001,Tools,94.28,13,1183
3002,Computers,387.09,63,1762
3003,Books,488.28,52,1226
3004,Jewelery,417.58,9,1695
3005,Home,486.38,66,1348
3006,Grocery,219.88,33,1722
3007,Kids,95.6,42,1301
3008,Sports,315.77,75,1302
3009,Games,458.28,55,1144
3010,Clothing,366.6,19,1038
3011,Movies,341.62,80,1764
3012,Beauty,462.79,52,1846
3013,Sports,382.42,23,1719
3014,Outdoors,457.2,89,1619
3015,Kids,436.26,41,1304
3016,Jewelery,446.06,13,1099
3017,Kids,35.72,62,1348
3018,Industrial,178.31,66,1658
3019,Jewelery,475.74,49,1591
3020,Games,444.29,1,1328
3021,Garden,89.56,29,1530
3022,Computers,202.58,79,1194
3023,Music,465.19,17,1441
3024,Sports,341.25,74,1406
3025,Industrial,35.63,38,1213
3026,Tools,7.49,71,1128
3027,Beauty,241.83,65,1015
3028,Outdoors,422.16,86,1059
3029,Industrial,434.32,7,1793
3030,Music,68.37,9,1973
3031,Outdoors,90.36,50,1347
3032,Jewelery,70.12,53,1726
3033,Beauty,102.96,56,1516
3034,Automotive,447.7,57,1259
3035,Music,149.78,17,1902
3036,Garden,495.08,87,1945
3037,Movies,154.04,9,1993
3038,Grocery,413.27,79,1769
3039,Kids,241.62,18,1390
3040,Movies,134.43,43,1620
3041,Home,298.66,67,1486
3042,Toys,307.75,46,1682
3043,Beauty,140.64,85,1942
3044,Clothing,370.0,6,1532
3045,Computers,3.61,71,1262
3046,Tools,110.88,39,1735
3047,Tools,256.61,63,1805
3048,Computers,186.02,23,1920
3049,Computers,104.59,61,1414
3050,Beauty,455.43,83,1808
3051,Outdoors,101.59,37,1654
3052,Sports,73.3,62,1335
3053,Garden,347.82,66,1673
3054,Home,66.99,28,1629
3055,Games,166.35,13,1950
3056,Grocery,39.59,72,1145
3057,Home,88.2,89,1509
3058,Home,491.46,42,1200
3059,Tools,272.84,49,1931
3060,Books,116.45,86,1719
3061,Outdoors,303.82,80,1915
3062,Health,365.5,28,1415
3063,Grocery,116.41,86,1622
3064,Clothing,273.05,63,1971
3065,Games,4.27,1,1800
3066,Outdoors,200.72,13,1717
3067,Health,449.04,89,1441
3068,Baby,137.67,8,1037
3069,Beauty,29.12,90,1276
3070,Industrial,358.07,14,1806
3071,Games,196.43,60,1316
3072,Sports,252.62,76,1749
3073,Clothing,89.26,27,1664
3074,Grocery,432.85,29,1874
3075,Industrial,390.19,27,1711
3076,Sports,266.08,57,1001
3077,Garden,31.66,60,1932
3078,Sports,426.34,15,1105
3079,Baby,401.74,62,1669
3080,Home,144.24,31,1812
3081,Automotive,458.53,61,1796
3082,Outdoors,433.96,60,1662
3083,Sports,199.4,28,1869
3084,Beauty,89.28,80,1027
3085,Jewelery,377.65,65,1171
3086,Baby,490.26,74,1310
3087,Sports,330.77,80,1255
3088,Electronics,351.48,3,1464
3089,Beauty,252.39,15,1167
3090,Shoes,187.67,38,1849
3091,Electronics,142.23,81,1914
3092,Jewelery,479.17,29,1162
3093,Beauty,361.77,22,1690
3094,Books,242.19,69,1101
3095,Shoes,256.04,36,1704
3096,Garden,313.59,33,1144
3097,Jewelery,238.5,43,1968
3098,Jewelery,133.63,43,1461
3099,Movies,121.79,5,1955
3100,Electronics,418.81,12,1003
3101,Toys,441.7,70,1062
3102,Garden,354.57,23,1301
3103,Kids,371.09,88,1576
3104,Automotive,189.4,27,1537
3105,Garden,391.34,74,1992
3106,Toys,88.42,81,1029
3107,Health,188.58,23,1245
3108,Clothing,463.32,23,1915
3109,Sports,435.45,3,1728
