id,tipo,precio,intervalo pago,propiedad
1001,Music,21.24,20,4846
1002,Electronics,299.99,43,4200
1003,Clothing,56.41,84,4326
1004,Tools,418.06,30,4900
1005,Shoes,68.75,50,4186
1006,Baby,441.42,39,4324
1007,Games,387.12,52,4886
1008,Computers,354.7,37,4259
1009,Music,265.28,30,4443
1010,Music,256.43,7,4650
1011,Sports,205.1,44,4758
1012,Home,346.81,4,4101
1013,Jewelery,288.68,68,4056
1014,Computers,175.69,81,4163
1015,Outdoors,281.1,59,4171
1016,Games,427.19,73,4499
1017,Sports,290.49,42,4959
1018,Automotive,496.08,89,4923
1019,Computers,490.48,24,4318
1020,Music,431.64,8,4934
1021,Automotive,110.88,32,4997
1022,Kids,474.84,23,4137
1023,Tools,426.53,87,4959
1024,Outdoors,424.56,30,4353
1025,Baby,188.92,20,4188
1026,Games,6.65,60,4717
1027,Music,251.38,36,4649
1028,Toys,432.86,10,4346
1029,Beauty,3.94,4,4209
1030,Kids,293.89,38,4663
1031,Sports,121.6,78,4457
1032,Beauty,192.76,42,4394
1033,Outdoors,384.43,32,4543
1034,Automotive,346.54,32,4530
1035,Toys,36.37,72,4317
1036,Music,30.73,49,4621
1037,Jewelery,345.39,90,4886
1038,Games,84.08,31,4282
1039,Clothing,499.52,86,4187
1040,Grocery,181.31,6,4630
1041,Electronics,489.63,79,4915
1042,Music,21.73,12,4572
1043,Baby,473.76,18,4493
1044,Jewelery,379.03,1,4091
1045,Outdoors,62.89,32,4098
1046,Toys,250.26,16,4509
1047,Industrial,305.93,80,4314
1048,Clothing,195.92,21,4863
1049,Jewelery,491.47,11,4708
1050,Garden,339.1,86,4504
1051,Electronics,187.63,77,4557
1052,Home,143.92,39,4379
1053,Electronics,295.73,20,4097
1054,Shoes,390.5,85,4403
1055,Automotive,496.09,26,4851
1056,Books,349.12,37,4517
1057,Garden,438.06,45,4729
1058,Computers,64.84,31,4419
1059,Clothing,134.51,63,4005
1060,Clothing,456.59,7,4051
1061,Kids,353.1,4,4743
1062,Automotive,348.61,87,4098
1063,Electronics,363.26,59,4856
1064,Beauty,135.18,45,4830
1065,Books,56.55,77,4538
1066,Health,109.46,54,4238
1067,Baby,41.54,54,4068
1068,Grocery,108.74,46,4754
1069,Automotive,441.58,39,4481
1070,Health,425.19,31,4778
1071,Movies,107.61,22,4242
1072,Movies,345.54,10,4157
1073,Kids,33.47,84,4858
1074,Movies,469.73,75,4571
1075,Automotive,6.23,56,4679
1076,Games,222.92,21,4600
1077,Movies,316.38,60,4860
1078,Sports,480.04,21,4695
1079,Games,334.5,39,4736
1080,Computers,355.21,89,4971
1081,Movies,13.64,44,4733
1082,Industrial,207.82,35,4706
1083,Industrial,64.5,61,4902
1084,Toys,445.64,55,4471
1085,Shoes,107.26,82,4592
1086,Computers,163.32,8,4188
1087,Sports,11.93,4,4021
1088,Tools,355.78,71,4154
1089,Computers,410.22,7,4504
1090,Kids,33.15,61,4394
1091,Home,160.88,23,4763
1092,Electronics,262.38,27,4400
1093,Automotive,136.96,18,4676
1094,Baby,65.64,16,4080
1095,Garden,257.54,60,4864
1096,Baby,452.18,29,4673
1097,Toys,101.92,23,4201
1098,Movies,362.11,28,4899
1099,Jewelery,254.53,46,4742
1100,Music,187.2,90,4460
1101,Electronics,334.6,66,4362
1102,Garden,93.8,27,4749
1103,Outdoors,133.81,71,4006
1104,Books,139.38,18,4078
1105,Games,66.13,87,4018
1106,Sports,334.36,11,4239
1107,Shoes,10.93,27,4702
1108,Beauty,429.04,14,4569
1109,Toys,282.43,12,4081
1110,Grocery,118.28,43,4941
1111,Outdoors,218.55,68,4075
1112,Automotive,173.42,90,4308
1113,Jewelery,102.14,83,4734
1114,Books,39.78,50,4468
1115,Games,237.28,4,4450
1116,Home,350.51,55,4055
1117,Jewelery,468.2,76,4324
1118,Shoes,426.9,58,4492
1119,Outdoors,427.53,76,4540
1120,Grocery,265.21,49,4153
1121,Automotive,350.26,82,4308
1122,Movies,479.31,5,4215
1123,Outdoors,44.67,39,4346
1124,Kids,38.52,83,4049
1125,Books,325.77,65,4074
1126,Kids,141.57,6,4064
1127,Games,158.8,23,4742
1128,Automotive,343.24,53,4327
1129,Computers,333.16,79,4392
1130,Clothing,316.6,51,4777
1131,Automotive,51.86,68,4983
1132,Health,434.5,7,4262
1133,Grocery,186.12,7,4674
1134,Computers,255.62,74,4889
1135,Electronics,172.81,53,4034
1136,Grocery,478.22,47,4656
1137,Automotive,332.12,39,4744
1138,Toys,124.46,61,4143
1139,Electronics,273.44,87,4080
1140,Tools,251.65,50,4181
1141,Tools,17.08,89,4509
1142,Health,152.73,30,4220
1143,Jewelery,467.39,60,4059
1144,Games,128.94,27,4031
1145,Toys,315.34,85,4364
1146,Music,212.16,55,4206
1147,Electronics,268.53,23,4605
1148,Clothing,439.71,38,4695
1149,Home,171.29,27,4482
1150,Home,12.79,84,4370
1151,Movies,303.95,10,4926
1152,Toys,200.47,71,4258
1153,Outdoors,498.99,85,4891
1154,Movies,363.7,76,4824
1155,Computers,452.85,3,4920
1156,Movies,187.61,80,4760
1157,Sports,141.22,84,4589
1158,Books,375.19,14,4295
1159,Kids,104.73,57,4943
1160,Toys,269.29,60,4663
1161,Shoes,20.69,58,4401
1162,Garden,409.02,36,4300
1163,Health,434.3,26,4282
1164,Shoes,139.74,78,4984
1165,Music,489.1,18,4908
1166,Books,396.84,35,4723
1167,Tools,117.46,4,4748
