id,fechaInicio,fechaFin,personas,porcentaje a pagar,montoTotal,propiedad,colectiva
3001,2018-06-08,2018-06-15 08:39:11 UTC,8,Female,95,675,1352
3002,2019-11-23,2019-11-30 07:05:49 UTC,13,Female,92,451,1444
3003,2020-01-20,2020-01-27 18:19:59 UTC,5,Female,86,529,1560
3004,2019-02-03,2019-02-10 03:05:05 UTC,6,Male,84,829,1750
3005,2019-03-31,2019-04-07 02:19:13 UTC,2,Female,83,384,1010
3006,2020-08-15,2020-08-22 14:37:20 UTC,7,Female,39,74,1835
3007,2019-12-30,2020-01-06 09:03:39 UTC,8,Male,89,427,1194
3008,2019-05-02,2019-05-09 02:59:08 UTC,17,Female,60,564,1504
3009,2020-04-10,2020-04-17 09:24:29 UTC,10,Male,68,660,1095
3010,2018-08-06,2018-08-13 23:02:27 UTC,17,Male,96,63,1118
3011,2018-11-24,2018-12-01 17:09:20 UTC,16,Female,96,58,1685
3012,2018-02-09,2018-02-16 21:30:34 UTC,17,Female,67,769,1337
3013,2018-12-30,2019-01-06 16:28:01 UTC,8,Female,19,335,1050
3014,2018-03-20,2018-03-27 19:51:59 UTC,12,Male,38,262,1181
3015,2018-11-08,2018-11-15 07:53:18 UTC,6,Female,88,86,1304
3016,2020-04-27,2020-05-04 12:29:17 UTC,12,Male,75,163,1079
3017,2018-04-25,2018-05-02 04:58:06 UTC,12,Female,80,639,1649
3018,2019-01-25,2019-02-01 11:58:52 UTC,15,Female,37,898,1726
3019,2018-01-04,2018-01-11 22:31:36 UTC,15,Male,27,616,1442
3020,2018-04-18,2018-04-25 06:13:37 UTC,7,Female,61,665,1417
3021,2018-04-22,2018-04-29 02:09:58 UTC,17,Male,100,804,1256
3022,2019-10-30,2019-11-06 11:00:14 UTC,4,Male,40,268,1770
3023,2018-08-14,2018-08-21 15:35:28 UTC,9,Female,41,498,1323
3024,2019-03-18,2019-03-25 06:23:30 UTC,3,Female,12,686,1978
3025,2020-02-08,2020-02-15 19:50:36 UTC,20,Female,50,158,1809
3026,2019-06-25,2019-07-02 22:36:04 UTC,13,Female,27,150,1200
3027,2020-04-04,2020-04-11 16:44:28 UTC,12,Female,43,71,1027
3028,2019-12-09,2019-12-16 08:23:46 UTC,1,Female,31,380,1708
3029,2019-07-23,2019-07-30 00:07:21 UTC,9,Male,48,963,1278
3030,2019-07-29,2019-08-05 20:31:48 UTC,6,Female,45,629,1418
3031,2018-05-09,2018-05-16 00:56:40 UTC,5,Female,79,935,1362
3032,2018-01-23,2018-01-30 08:10:32 UTC,10,Male,59,995,1082
3033,2020-02-24,2020-03-02 13:32:27 UTC,13,Female,22,647,1453
3034,2019-10-29,2019-11-05 05:46:37 UTC,15,Male,35,445,1673
3035,2019-08-25,2019-09-01 06:59:01 UTC,1,Male,12,851,1378
3036,2020-02-06,2020-02-13 03:20:36 UTC,15,Male,27,518,1852
3037,2020-04-29,2020-05-06 09:18:14 UTC,16,Female,47,959,1337
3038,2019-05-19,2019-05-26 10:36:51 UTC,9,Male,29,535,1470
3039,2018-07-10,2018-07-17 00:36:02 UTC,4,Male,60,334,1451
3040,2019-09-05,2019-09-12 01:41:32 UTC,20,Female,53,202,1965
3041,2018-06-10,2018-06-17 22:32:32 UTC,17,Male,85,193,1079
3042,2020-05-22,2020-05-29 21:28:47 UTC,6,Female,29,287,1544
3043,2020-04-02,2020-04-09 21:52:12 UTC,6,Female,24,771,1857
3044,2020-04-29,2020-05-06 21:22:21 UTC,16,Male,69,357,1038
3045,2019-09-27,2019-10-04 08:29:06 UTC,20,Female,19,677,1096
3046,2018-01-17,2018-01-24 03:38:11 UTC,6,Male,31,435,1072
3047,2019-08-14,2019-08-21 20:51:14 UTC,14,Female,72,121,1699
3048,2020-04-28,2020-05-05 20:07:36 UTC,7,Female,42,667,1544
3049,2019-05-31,2019-06-07 04:57:58 UTC,12,Male,42,707,1862
3050,2019-08-15,2019-08-22 08:02:58 UTC,13,Male,75,974,1815
3051,2018-08-16,2018-08-23 22:02:10 UTC,20,Female,34,765,1985
3052,2018-12-26,2019-01-02 00:59:10 UTC,6,Male,47,503,1688
3053,2020-02-10,2020-02-17 07:12:11 UTC,7,Male,18,7,1782
3054,2019-10-05,2019-10-12 17:08:08 UTC,8,Male,12,306,1760
3055,2018-07-22,2018-07-29 22:50:34 UTC,12,Female,100,347,1259
3056,2020-06-19,2020-06-26 10:04:33 UTC,10,Female,40,252,1645
3057,2018-11-21,2018-11-28 23:42:38 UTC,1,Female,42,827,1882
3058,2019-03-02,2019-03-09 21:22:04 UTC,18,Female,17,271,1898
3059,2018-01-21,2018-01-28 11:59:07 UTC,11,Male,86,68,1892
3060,2019-05-26,2019-06-02 00:45:11 UTC,16,Female,77,981,1252
3061,2018-11-26,2018-12-03 12:46:52 UTC,16,Male,79,344,1340
3062,2020-07-29,2020-08-05 10:46:23 UTC,6,Female,20,126,1465
3063,2018-03-22,2018-03-29 04:25:58 UTC,19,Male,14,684,1968
3064,2018-07-24,2018-07-31 13:34:27 UTC,4,Female,84,624,1193
3065,2019-04-21,2019-04-28 23:20:24 UTC,18,Female,72,577,1717
3066,2020-02-11,2020-02-18 20:11:13 UTC,16,Male,57,16,1872
3067,2019-02-21,2019-02-28 02:20:04 UTC,19,Male,85,682,1181
3068,2018-06-01,2018-06-08 18:48:56 UTC,3,Male,67,391,1955
3069,2020-08-15,2020-08-22 03:56:59 UTC,14,Female,22,374,1151
3070,2019-03-14,2019-03-21 14:57:09 UTC,20,Female,97,239,1133
3071,2020-03-17,2020-03-24 17:11:07 UTC,3,Female,24,208,1876
3072,2018-05-18,2018-05-25 14:22:23 UTC,10,Female,68,543,1147
3073,2020-07-13,2020-07-20 01:32:02 UTC,17,Female,84,79,1274
3074,2018-05-25,2018-06-01 10:56:20 UTC,10,Male,23,871,1093
3075,2018-08-24,2018-08-31 13:20:00 UTC,9,Male,56,213,1333
3076,2020-05-03,2020-05-10 13:24:18 UTC,2,Male,41,653,1561
3077,2019-03-01,2019-03-08 10:04:00 UTC,12,Female,38,359,1109
3078,2020-04-25,2020-05-02 05:13:21 UTC,18,Male,84,770,1129
3079,2020-04-19,2020-04-26 00:28:41 UTC,11,Male,15,604,1817
3080,2020-01-14,2020-01-21 21:08:57 UTC,13,Male,47,71,1097
3081,2019-12-31,2020-01-07 09:39:37 UTC,14,Male,77,192,1200
3082,2019-04-30,2019-05-07 14:03:09 UTC,4,Male,78,819,1636
3083,2018-10-17,2018-10-24 15:26:17 UTC,4,Male,76,750,1662
3084,2018-08-10,2018-08-17 07:13:31 UTC,10,Female,100,480,1188
3085,2020-03-21,2020-03-28 08:39:22 UTC,11,Female,48,764,1561
3086,2018-06-08,2018-06-15 13:19:51 UTC,4,Female,87,423,1398
3087,2019-09-07,2019-09-14 03:20:32 UTC,14,Female,53,787,1861
3088,2019-02-25,2019-03-04 23:43:59 UTC,11,Male,56,240,1059
3089,2020-01-29,2020-02-05 08:14:05 UTC,20,Male,45,254,1175
3090,2018-05-22,2018-05-29 09:42:29 UTC,20,Female,39,154,1491
3091,2018-07-01,2018-07-08 07:20:56 UTC,19,Male,25,483,1048
3092,2020-03-14,2020-03-21 05:04:50 UTC,15,Male,53,705,1100
3093,2018-08-21,2018-08-28 14:37:45 UTC,4,Male,68,629,1295
3094,2018-01-28,2018-02-04 02:15:34 UTC,6,Female,96,419,1443
3095,2020-05-15,2020-05-22 13:17:43 UTC,3,Male,53,555,1575
3096,2018-12-24,2018-12-31 20:34:38 UTC,10,Female,27,322,1568
3097,2019-07-27,2019-08-03 14:32:48 UTC,13,Male,39,380,1975
3098,2018-05-18,2018-05-25 06:50:25 UTC,14,Male,22,531,1343
3099,2019-02-01,2019-02-08 14:31:20 UTC,17,Female,78,917,1590
3100,2020-08-14,2020-08-21 16:00:02 UTC,11,Male,59,495,1268
3101,2020-04-05,2020-04-12 17:33:35 UTC,15,Male,43,864,1761
3102,2020-05-13,2020-05-20 18:25:24 UTC,8,Female,57,133,1784
3103,2018-10-04,2018-10-11 22:08:28 UTC,17,Male,16,697,1679
3104,2019-12-13,2019-12-20 13:03:34 UTC,15,Female,20,788,1977
3105,2020-06-01,2020-06-08 01:07:43 UTC,18,Female,63,601,1496
3106,2018-04-11,2018-04-18 13:49:24 UTC,10,Male,28,490,1719
3107,2019-07-12,2019-07-19 10:47:42 UTC,15,Female,21,289,1214
3108,2020-05-23,2020-05-30 15:55:10 UTC,5,Male,72,595,1327
3109,2019-07-22,2019-07-29 07:05:45 UTC,3,Male,35,210,1610
3110,2019-11-11,2019-11-18 11:59:52 UTC,8,Male,34,493,1409
3111,2018-10-09,2018-10-16 22:40:28 UTC,15,Female,91,102,1854
3112,2018-03-19,2018-03-26 22:59:53 UTC,8,Male,54,509,1726
3113,2019-12-29,2020-01-05 19:42:06 UTC,15,Male,77,948,1266
3114,2019-04-28,2019-05-05 06:04:24 UTC,20,Male,78,808,1550
3115,2019-10-26,2019-11-02 02:25:00 UTC,6,Male,53,781,1563
3116,2018-10-30,2018-11-06 10:56:57 UTC,13,Male,84,516,1919
3117,2019-01-30,2019-02-06 13:32:07 UTC,2,Male,89,856,1650
3118,2019-02-25,2019-03-04 11:45:58 UTC,13,Male,40,911,1572
3119,2019-05-05,2019-05-12 15:59:18 UTC,14,Male,67,359,1979
3120,2018-08-24,2018-08-31 18:22:12 UTC,20,Male,96,488,1245
3121,2019-10-26,2019-11-02 00:28:19 UTC,18,Female,70,916,1625
3122,2018-07-31,2018-08-07 03:52:48 UTC,14,Male,95,756,1592
3123,2018-03-29,2018-04-05 13:47:18 UTC,4,Male,96,133,1796
3124,2018-04-07,2018-04-14 07:25:58 UTC,14,Female,97,742,1604
3125,2018-12-22,2018-12-29 07:31:09 UTC,20,Female,88,109,1607
3126,2019-10-05,2019-10-12 06:39:44 UTC,15,Male,95,803,1748
3127,2018-07-11,2018-07-18 15:20:58 UTC,8,Female,88,854,1650
3128,2019-09-13,2019-09-20 03:31:13 UTC,15,Male,50,792,1216
3129,2018-03-03,2018-03-10 12:19:39 UTC,3,Female,30,543,1814
