IDAPARTAMENTO,IDRESERVA
3001,6001
3002,6002
3003,6003
3004,6004
3005,6005
3006,6006
3007,6007
3008,6008
3009,6009
3010,6010
3011,6011
3012,6012
3013,6013
3014,6014
3015,6015
3016,6016
3017,6017
3018,6018
3019,6019
3020,6020
3021,6021
3022,6022
3023,6023
3024,6024
3025,6025
3026,6026
3027,6027
3028,6028
3029,6029
3030,6030
3031,6031
3032,6032
3033,6033
3034,6034
3035,6035
3036,6036
3037,6037
3038,6038
3039,6039
3040,6040
3041,6041
3042,6042
3043,6043
3044,6044
3045,6045
3046,6046
3047,6047
3048,6048
3049,6049
3050,6050
3051,6051
3052,6052
3053,6053
3054,6054
3055,6055
3056,6056
3057,6057
3058,6058
3059,6059
3060,6060
3061,6061
3062,6062
3063,6063
3064,6064
3065,6065
3066,6066
3067,6067
3068,6068
3069,6069
3070,6070
3071,6071
3072,6072
3073,6073
3074,6074
3075,6075
3076,6076
3077,6077
3078,6078
3079,6079
3080,6080
3081,6081
3082,6082
3083,6083
3084,6084
3085,6085
3086,6086
3087,6087
3088,6088
3089,6089
3090,6090
3091,6091
3092,6092
3093,6093
3094,6094
3095,6095
3096,6096
3097,6097
3098,6098
3099,6099
3100,6100
3101,6101
3102,6102
3103,6103
3104,6104
3105,6105
3106,6106
3107,6107
3108,6108
3109,6109
3110,6110
3111,6111
3112,6112
3113,6113
3114,6114
3115,6115
3116,6116
3117,6117
3118,6118
3119,6119
3120,6120
3121,6121
3122,6122
3123,6123
3124,6124
3125,6125
3126,6126
3127,6127
3128,6128
3129,6129
3130,6130
3131,6131
3132,6132
3133,6133
3134,6134
3135,6135
3136,6136
3137,6137
3138,6138
3139,6139
3140,6140
3141,6141
3142,6142
3143,6143
3144,6144
3145,6145
3146,6146
3147,6147
3148,6148
3149,6149
3150,6150
3151,6151
3152,6152
3153,6153
3154,6154
3155,6155
3156,6156
3157,6157
3158,6158
3159,6159
3160,6160
3161,6161
3162,6162
3163,6163
3164,6164
3165,6165
3166,6166
3167,6167
3168,6168
3169,6169
3170,6170
3171,6171
3172,6172
3173,6173
3174,6174
3175,6175
3176,6176
3177,6177
3178,6178
3179,6179
3180,6180
3181,6181
3182,6182
3183,6183
3184,6184
3185,6185
3186,6186
3187,6187
3188,6188
3189,6189
3190,6190
3191,6191
3192,6192
3193,6193
3194,6194
3195,6195
3196,6196
3197,6197
3198,6198
3199,6199
3200,6200
3201,6201
3202,6202
3203,6203
3204,6204
3205,6205
3206,6206
3207,6207
3208,6208
3209,6209
3210,6210
3211,6211
3212,6212
3213,6213
3214,6214
3215,6215
3216,6216
3217,6217
3218,6218
3219,6219
3220,6220
3221,6221
3222,6222
3223,6223
3224,6224
3225,6225
3226,6226
3227,6227
3228,6228
3229,6229
3230,6230
3231,6231
3232,6232
3233,6233
3234,6234
3235,6235
3236,6236
3237,6237
3238,6238
3239,6239
3240,6240
3241,6241
3242,6242
3243,6243
3244,6244
3245,6245
3246,6246
3247,6247
3248,6248
3249,6249
3250,6250
3251,6251
3252,6252
3253,6253
3254,6254
3255,6255
3256,6256
3257,6257
3258,6258
3259,6259
3260,6260
3261,6261
3262,6262
3263,6263
3264,6264
3265,6265
3266,6266
3267,6267
3268,6268
3269,6269
3270,6270
3271,6271
3272,6272
3273,6273
3274,6274
3275,6275
3276,6276
3277,6277
3278,6278
3279,6279
3280,6280
3281,6281
3282,6282
3283,6283
3284,6284
3285,6285
3286,6286
3287,6287
3288,6288
3289,6289
3290,6290
3291,6291
3292,6292
3293,6293
3294,6294
3295,6295
3296,6296
3297,6297
3298,6298
3299,6299
3300,6300
3301,6301
3302,6302
3303,6303
3304,6304
3305,6305
3306,6306
3307,6307
3308,6308
3309,6309
3310,6310
3311,6311
3312,6312
3313,6313
3314,6314
3315,6315
3316,6316
3317,6317
3318,6318
3319,6319
3320,6320
3321,6321
3322,6322
3323,6323
3324,6324
3325,6325
3326,6326
3327,6327
3328,6328
3329,6329
3330,6330
3331,6331
3332,6332
3333,6333
3334,6334
3335,6335
3336,6336
3337,6337
3338,6338
3339,6339
3340,6340
3341,6341
3342,6342
3343,6343
3344,6344
3345,6345
3346,6346
3347,6347
3348,6348
3349,6349
3350,6350
3351,6351
3352,6352
3353,6353
3354,6354
3355,6355
3356,6356
3357,6357
3358,6358
3359,6359
3360,6360
3361,6361
3362,6362
3363,6363
3364,6364
3365,6365
3366,6366
3367,6367
3368,6368
3369,6369
3370,6370
3371,6371
3372,6372
3373,6373
3374,6374
3375,6375
3376,6376
3377,6377
3378,6378
3379,6379
3380,6380
3381,6381
3382,6382
3383,6383
3384,6384
3385,6385
3386,6386
3387,6387
3388,6388
3389,6389
3390,6390
3391,6391
3392,6392
3393,6393
3394,6394
3395,6395
3396,6396
3397,6397
3398,6398
3399,6399
3400,6400
3401,6401
3402,6402
3403,6403
3404,6404
3405,6405
3406,6406
3407,6407
3408,6408
3409,6409
3410,6410
3411,6411
3412,6412
3413,6413
3414,6414
3415,6415
3416,6416
3417,6417
3418,6418
3419,6419
3420,6420
3421,6421
3422,6422
3423,6423
3424,6424
3425,6425
3426,6426
3427,6427
3428,6428
3429,6429
3430,6430
3431,6431
3432,6432
3433,6433
3434,6434
3435,6435
3436,6436
3437,6437
3438,6438
3439,6439
3440,6440
3441,6441
3442,6442
3443,6443
3444,6444
3445,6445
3446,6446
3447,6447
3448,6448
3449,6449
3450,6450
3451,6451
3452,6452
3453,6453
3454,6454
3455,6455
3456,6456
3457,6457
3458,6458
3459,6459
3460,6460
3461,6461
3462,6462
3463,6463
3464,6464
3465,6465
3466,6466
3467,6467
3468,6468
3469,6469
3470,6470
3471,6471
3472,6472
3473,6473
3474,6474
3475,6475
3476,6476
3477,6477
3478,6478
3479,6479
3480,6480
3481,6481
3482,6482
3483,6483
3484,6484
3485,6485
3486,6486
3487,6487
3488,6488
3489,6489
3490,6490
3491,6491
3492,6492
3493,6493
3494,6494
3495,6495
3496,6496
3497,6497
3498,6498
3499,6499
3500,6500
3501,6501
3502,6502
3503,6503
3504,6504
3505,6505
3506,6506
3507,6507
3508,6508
3509,6509
3510,6510
3511,6511
3512,6512
3513,6513
3514,6514
3515,6515
3516,6516
3517,6517
3518,6518
3519,6519
3520,6520
3521,6521
3522,6522
3523,6523
3524,6524
3525,6525
3526,6526
3527,6527
3528,6528
3529,6529
3530,6530
3531,6531
3532,6532
3533,6533
3534,6534
3535,6535
3536,6536
3537,6537
3538,6538
3539,6539
3540,6540
3541,6541
3542,6542
3543,6543
3544,6544
3545,6545
3546,6546
3547,6547
3548,6548
3549,6549
3550,6550
3551,6551
3552,6552
3553,6553
3554,6554
3555,6555
3556,6556
3557,6557
3558,6558
3559,6559
3560,6560
3561,6561
3562,6562
3563,6563
3564,6564
3565,6565
3566,6566
3567,6567
3568,6568
3569,6569
3570,6570
3571,6571
3572,6572
3573,6573
3574,6574
3575,6575
3576,6576
3577,6577
3578,6578
3579,6579
3580,6580
3581,6581
3582,6582
3583,6583
3584,6584
3585,6585
3586,6586
3587,6587
3588,6588
3589,6589
3590,6590
3591,6591
3592,6592
3593,6593
3594,6594
3595,6595
3596,6596
3597,6597
3598,6598
3599,6599
3600,6600
3601,6601
3602,6602
3603,6603
3604,6604
3605,6605
3606,6606
3607,6607
3608,6608
3609,6609
3610,6610
3611,6611
3612,6612
3613,6613
3614,6614
3615,6615
3616,6616
3617,6617
3618,6618
3619,6619
3620,6620
3621,6621
3622,6622
3623,6623
3624,6624
3625,6625
3626,6626
3627,6627
3628,6628
3629,6629
3630,6630
3631,6631
3632,6632
3633,6633
3634,6634
3635,6635
3636,6636
3637,6637
3638,6638
3639,6639
3640,6640
3641,6641
3642,6642
3643,6643
3644,6644
3645,6645
3646,6646
3647,6647
3648,6648
3649,6649
3650,6650
3651,6651
3652,6652
3653,6653
3654,6654
3655,6655
3656,6656
3657,6657
3658,6658
3659,6659
3660,6660
3661,6661
3662,6662
3663,6663
3664,6664
3665,6665
3666,6666
3667,6667
3668,6668
3669,6669
3670,6670
3671,6671
3672,6672
3673,6673
3674,6674
3675,6675
3676,6676
3677,6677
3678,6678
3679,6679
3680,6680
3681,6681
3682,6682
3683,6683
3684,6684
3685,6685
3686,6686
3687,6687
3688,6688
3689,6689
3690,6690
3691,6691
3692,6692
3693,6693
3694,6694
3695,6695
3696,6696
3697,6697
3698,6698
3699,6699
3700,6700
3701,6701
3702,6702
3703,6703
3704,6704
3705,6705
3706,6706
3707,6707
3708,6708
3709,6709
3710,6710
3711,6711
3712,6712
3713,6713
3714,6714
3715,6715
3716,6716
3717,6717
3718,6718
3719,6719
3720,6720
3721,6721
3722,6722
3723,6723
3724,6724
3725,6725
3726,6726
3727,6727
3728,6728
3729,6729
3730,6730
3731,6731
3732,6732
3733,6733
3734,6734
3735,6735
3736,6736
3737,6737
3738,6738
3739,6739
3740,6740
3741,6741
3742,6742
3743,6743
3744,6744
3745,6745
3746,6746
3747,6747
3748,6748
3749,6749
3750,6750
3751,6751
3752,6752
3753,6753
3754,6754
3755,6755
3756,6756
3757,6757
3758,6758
3759,6759
3760,6760
3761,6761
3762,6762
3763,6763
3764,6764
