id,amueblado,habitaciones,descripcionMenaje,tieneSeguro,descripcionSeguro
4878,1,8,Fusce consequat. Nulla nisl. Nunc nisl.,0,""
4450,1,10,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,1,
4721,1,3,Aenean sit amet justo.,0,""
4038,0,8,Vestibulum ac est lacinia nisi venenatis tristique.,1,
4793,0,6,Praesent id massa id nisl venenatis lacinia.,1,
4065,0,6,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,0,""
4518,1,1,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.,1,
4488,1,10,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,0,""
4922,1,1,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",0,""
4455,0,1,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,0,""
4201,1,4,Pellentesque at nulla.,1,
4516,0,3,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",0,""
4880,0,7,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1,
4484,0,3,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",0,""
4740,1,6,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",1,
4892,1,3,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",1,
4780,1,7,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",1,
4284,1,2,Duis consequat dui nec nisi volutpat eleifend.,1,
4693,1,5,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0,""
4009,0,9,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,0,""
4843,1,6,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",0,""
4960,1,3,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",0,""
4257,1,7,Nullam varius. Nulla facilisi.,0,""
4944,0,10,Curabitur convallis.,0,""
4474,0,1,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",0,""
4680,0,7,Nam dui.,1,
4204,1,10,Phasellus in felis. Donec semper sapien a libero.,1,
4113,1,3,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",1,
4864,0,10,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,0,""
4908,0,6,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,1,
4415,1,7,Phasellus in felis.,1,
4116,0,7,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,1,
4967,0,10,Sed vel enim sit amet nunc viverra dapibus.,0,""
4077,1,4,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,1,
4373,1,6,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,0,""
4196,1,10,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,1,
4432,1,4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",0,""
4398,1,6,Donec dapibus.,0,""
4528,0,8,Nulla tellus. In sagittis dui vel nisl.,1,
4690,1,5,Proin risus.,1,
4165,1,2,In hac habitasse platea dictumst.,0,""
4991,0,9,Proin eu mi. Nulla ac enim.,1,
4982,0,3,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",0,""
4294,0,6,Proin risus.,1,
4941,1,1,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,0,""
4263,0,7,Duis bibendum.,1,
4736,1,3,Nunc purus. Phasellus in felis. Donec semper sapien a libero.,1,
4673,1,1,Vivamus vestibulum sagittis sapien.,1,
4932,0,3,In quis justo. Maecenas rhoncus aliquam lacus.,0,""
4270,1,3,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",0,""
4880,0,10,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1,
4476,1,6,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,0,""
4753,1,3,Nullam varius. Nulla facilisi.,1,
