id,tipo,individual,esquema
2159,1,1,http://dummyimage.com/101x148.png/5fa2dd/ffffff
2668,0,1,http://dummyimage.com/203x148.jpg/dddddd/000000
2826,2,1,http://dummyimage.com/188x204.bmp/cc0000/ffffff
2816,2,1,http://dummyimage.com/210x242.jpg/cc0000/ffffff
2653,2,0,http://dummyimage.com/137x168.jpg/ff4444/ffffff
2727,0,0,http://dummyimage.com/224x163.png/cc0000/ffffff
2643,1,1,http://dummyimage.com/142x126.png/cc0000/ffffff
2363,2,1,http://dummyimage.com/130x191.png/ff4444/ffffff
2477,0,1,http://dummyimage.com/157x183.png/ff4444/ffffff
2430,0,1,http://dummyimage.com/194x198.jpg/ff4444/ffffff
2793,2,1,http://dummyimage.com/117x240.png/dddddd/000000
2810,2,0,http://dummyimage.com/218x246.jpg/ff4444/ffffff
2232,0,1,http://dummyimage.com/191x128.png/ff4444/ffffff
2325,0,0,http://dummyimage.com/122x113.jpg/dddddd/000000
2356,0,0,http://dummyimage.com/188x144.jpg/5fa2dd/ffffff
2206,0,0,http://dummyimage.com/245x166.jpg/dddddd/000000
2683,0,0,http://dummyimage.com/165x119.png/cc0000/ffffff
2122,1,1,http://dummyimage.com/123x207.bmp/cc0000/ffffff
2697,0,0,http://dummyimage.com/203x205.jpg/cc0000/ffffff
2761,0,1,http://dummyimage.com/227x165.bmp/cc0000/ffffff
2345,2,1,http://dummyimage.com/154x238.bmp/ff4444/ffffff
2387,2,0,http://dummyimage.com/134x171.bmp/ff4444/ffffff
2333,1,0,http://dummyimage.com/230x209.bmp/5fa2dd/ffffff
2823,1,0,http://dummyimage.com/109x194.jpg/cc0000/ffffff
2633,1,0,http://dummyimage.com/236x184.jpg/cc0000/ffffff
2159,1,1,http://dummyimage.com/201x221.jpg/dddddd/000000
2349,2,1,http://dummyimage.com/204x155.bmp/ff4444/ffffff
2445,2,1,http://dummyimage.com/226x220.bmp/ff4444/ffffff
2721,1,0,http://dummyimage.com/205x154.bmp/dddddd/000000
2346,1,0,http://dummyimage.com/173x133.bmp/cc0000/ffffff
2579,2,0,http://dummyimage.com/229x167.bmp/ff4444/ffffff
2357,1,0,http://dummyimage.com/129x174.jpg/5fa2dd/ffffff
2072,2,1,http://dummyimage.com/108x105.bmp/cc0000/ffffff
2144,2,0,http://dummyimage.com/155x121.jpg/5fa2dd/ffffff
2729,1,1,http://dummyimage.com/127x204.png/ff4444/ffffff
2974,2,1,http://dummyimage.com/238x155.bmp/cc0000/ffffff
2927,2,1,http://dummyimage.com/138x237.bmp/5fa2dd/ffffff
2933,2,1,http://dummyimage.com/224x210.png/dddddd/000000
2719,2,0,http://dummyimage.com/142x109.jpg/dddddd/000000
2482,1,1,http://dummyimage.com/246x217.bmp/cc0000/ffffff
2395,1,1,http://dummyimage.com/105x161.png/dddddd/000000
2356,1,1,http://dummyimage.com/211x163.png/ff4444/ffffff
2302,1,0,http://dummyimage.com/192x116.bmp/5fa2dd/ffffff
2598,0,1,http://dummyimage.com/158x156.png/dddddd/000000
2806,1,0,http://dummyimage.com/169x226.jpg/5fa2dd/ffffff
2234,1,0,http://dummyimage.com/244x222.png/dddddd/000000
2426,2,0,http://dummyimage.com/137x158.jpg/dddddd/000000
2059,1,0,http://dummyimage.com/203x246.jpg/ff4444/ffffff
2198,1,1,http://dummyimage.com/152x221.bmp/cc0000/ffffff
2433,2,0,http://dummyimage.com/148x160.bmp/dddddd/000000
2570,2,0,http://dummyimage.com/193x175.png/ff4444/ffffff
2774,2,0,http://dummyimage.com/156x167.png/ff4444/ffffff
2883,1,1,http://dummyimage.com/241x242.bmp/ff4444/ffffff
2930,1,0,http://dummyimage.com/188x219.jpg/ff4444/ffffff
2786,2,0,http://dummyimage.com/191x232.bmp/5fa2dd/ffffff
2664,2,1,http://dummyimage.com/136x162.bmp/ff4444/ffffff
2789,2,1,http://dummyimage.com/247x187.bmp/ff4444/ffffff
2055,2,0,http://dummyimage.com/225x107.png/dddddd/000000
2619,2,0,http://dummyimage.com/110x228.png/cc0000/ffffff
2628,0,0,http://dummyimage.com/107x241.jpg/5fa2dd/ffffff
2732,0,1,http://dummyimage.com/204x208.png/ff4444/ffffff
2166,2,1,http://dummyimage.com/219x232.jpg/dddddd/000000
2826,1,0,http://dummyimage.com/173x145.jpg/ff4444/ffffff
2448,1,0,http://dummyimage.com/244x138.jpg/dddddd/000000
2308,0,1,http://dummyimage.com/243x250.png/5fa2dd/ffffff
2398,1,0,http://dummyimage.com/211x143.png/ff4444/ffffff
2614,1,1,http://dummyimage.com/165x205.png/cc0000/ffffff
2833,2,1,http://dummyimage.com/177x231.bmp/cc0000/ffffff
2453,0,0,http://dummyimage.com/181x134.jpg/5fa2dd/ffffff
2781,1,0,http://dummyimage.com/201x217.jpg/dddddd/000000
2292,2,0,http://dummyimage.com/226x212.bmp/dddddd/000000
2041,0,1,http://dummyimage.com/237x178.jpg/5fa2dd/ffffff
2122,0,1,http://dummyimage.com/111x139.png/cc0000/ffffff
2702,2,0,http://dummyimage.com/160x247.bmp/cc0000/ffffff
2119,1,0,http://dummyimage.com/215x237.jpg/dddddd/000000
2352,1,0,http://dummyimage.com/137x119.png/5fa2dd/ffffff
2102,0,1,http://dummyimage.com/164x173.png/dddddd/000000
2304,2,1,http://dummyimage.com/140x223.jpg/cc0000/ffffff
2882,0,1,http://dummyimage.com/228x248.bmp/cc0000/ffffff
2925,2,1,http://dummyimage.com/224x100.bmp/cc0000/ffffff
2891,0,1,http://dummyimage.com/228x173.bmp/ff4444/ffffff
2366,0,1,http://dummyimage.com/208x176.jpg/5fa2dd/ffffff
2847,1,0,http://dummyimage.com/173x242.jpg/ff4444/ffffff
2030,2,0,http://dummyimage.com/154x116.bmp/ff4444/ffffff
2299,1,1,http://dummyimage.com/178x167.bmp/dddddd/000000
2880,0,1,http://dummyimage.com/171x105.jpg/5fa2dd/ffffff
2825,0,1,http://dummyimage.com/121x194.bmp/ff4444/ffffff
2523,0,1,http://dummyimage.com/156x133.png/cc0000/ffffff
2004,1,0,http://dummyimage.com/136x131.jpg/ff4444/ffffff
2008,0,0,http://dummyimage.com/207x242.bmp/cc0000/ffffff
2166,0,0,http://dummyimage.com/201x206.png/dddddd/000000
2577,2,1,http://dummyimage.com/185x191.png/cc0000/ffffff
2934,1,0,http://dummyimage.com/146x231.jpg/cc0000/ffffff
2365,2,0,http://dummyimage.com/106x217.png/5fa2dd/ffffff
2741,0,1,http://dummyimage.com/216x237.jpg/5fa2dd/ffffff
2629,1,1,http://dummyimage.com/134x103.bmp/cc0000/ffffff
2808,1,1,http://dummyimage.com/141x141.jpg/5fa2dd/ffffff
2459,2,0,http://dummyimage.com/233x167.jpg/5fa2dd/ffffff
2585,0,1,http://dummyimage.com/160x119.png/cc0000/ffffff
2984,2,1,http://dummyimage.com/130x179.png/dddddd/000000
2655,2,0,http://dummyimage.com/195x137.bmp/5fa2dd/ffffff
2598,0,0,http://dummyimage.com/205x141.png/cc0000/ffffff
2161,1,0,http://dummyimage.com/229x146.jpg/cc0000/ffffff
2269,0,0,http://dummyimage.com/206x225.png/dddddd/000000
2046,0,1,http://dummyimage.com/175x163.bmp/ff4444/ffffff
2202,1,0,http://dummyimage.com/229x222.png/ff4444/ffffff
2849,0,1,http://dummyimage.com/217x100.png/cc0000/ffffff
2470,0,1,http://dummyimage.com/148x197.png/5fa2dd/ffffff
2871,2,1,http://dummyimage.com/197x150.png/cc0000/ffffff
2045,1,1,http://dummyimage.com/129x247.bmp/dddddd/000000
2597,1,0,http://dummyimage.com/142x225.bmp/dddddd/000000
2487,0,0,http://dummyimage.com/219x168.png/5fa2dd/ffffff
2006,1,1,http://dummyimage.com/207x109.png/cc0000/ffffff
2281,1,1,http://dummyimage.com/144x212.png/dddddd/000000
2595,1,1,http://dummyimage.com/120x172.bmp/dddddd/000000
2832,1,1,http://dummyimage.com/191x155.png/ff4444/ffffff
2392,1,1,http://dummyimage.com/223x170.bmp/ff4444/ffffff
2680,0,0,http://dummyimage.com/238x240.png/cc0000/ffffff
2496,1,0,http://dummyimage.com/173x172.png/cc0000/ffffff
2526,1,0,http://dummyimage.com/189x142.jpg/dddddd/000000
2684,0,1,http://dummyimage.com/198x234.png/dddddd/000000
2775,1,0,http://dummyimage.com/219x236.jpg/cc0000/ffffff
2505,2,1,http://dummyimage.com/241x234.png/cc0000/ffffff
2425,1,0,http://dummyimage.com/107x230.png/cc0000/ffffff
2161,1,1,http://dummyimage.com/165x229.jpg/cc0000/ffffff
2313,1,0,http://dummyimage.com/167x114.bmp/ff4444/ffffff
2739,1,1,http://dummyimage.com/179x153.png/cc0000/ffffff
2777,1,1,http://dummyimage.com/110x150.jpg/5fa2dd/ffffff
2772,1,1,http://dummyimage.com/149x124.jpg/cc0000/ffffff
2272,2,1,http://dummyimage.com/181x190.bmp/cc0000/ffffff
2822,1,1,http://dummyimage.com/143x125.bmp/dddddd/000000
2926,1,0,http://dummyimage.com/248x142.bmp/5fa2dd/ffffff
2582,1,1,http://dummyimage.com/133x157.jpg/dddddd/000000
2946,1,0,http://dummyimage.com/228x202.png/dddddd/000000
2844,2,0,http://dummyimage.com/249x120.bmp/ff4444/ffffff
2190,0,1,http://dummyimage.com/217x132.png/dddddd/000000
2643,1,0,http://dummyimage.com/248x147.jpg/dddddd/000000
2194,2,1,http://dummyimage.com/150x235.jpg/dddddd/000000
2952,2,0,http://dummyimage.com/246x229.bmp/dddddd/000000
