id,fechaInicio,duracion,cantidad,tipo,cliente
2001,2019-04-19,23,31,APARTAMENTO,1232
2002,2019-04-10,1,16,APARTAMENTO,1149
2003,2020-05-22,22,27,HABITACION,1983
2004,2019-06-03,20,31,HABITACION,1063
2005,2019-05-22,20,15,APARTAMENTO,1829
2006,2019-10-12,7,40,HABITACION,1590
2007,2019-01-16,14,12,HABITACION,1796
2008,2019-05-30,13,18,APARTAMENTO,1149
2009,2019-05-15,14,20,APARTAMENTO,1715
2010,2019-05-30,13,15,HABITACION,1505
2011,2019-01-18,25,28,APARTAMENTO,1060
2012,2019-05-26,1,15,HABITACION,1457
2013,2019-06-25,12,36,HABITACION,1062
2014,2020-02-03,30,40,APARTAMENTO,1080
2015,2019-04-26,23,1,HABITACION,1113
2016,2020-03-03,26,11,APARTAMENTO,1702
2017,2019-04-16,12,5,HABITACION,1354
2018,2019-10-12,17,26,HABITACION,1241
2019,2019-07-12,30,31,HABITACION,1527
2020,2019-02-03,18,9,HABITACION,1049
2021,2018-11-04,6,13,APARTAMENTO,1448
2022,2019-07-10,11,19,APARTAMENTO,1294
2023,2019-11-04,24,22,APARTAMENTO,1889
2024,2019-05-29,18,19,HABITACION,1591
2025,2019-03-24,3,34,HABITACION,1742
2026,2020-01-14,3,27,HABITACION,1050
2027,2018-11-02,20,36,APARTAMENTO,1481
2028,2018-10-18,27,26,APARTAMENTO,1525
2029,2019-07-15,28,34,APARTAMENTO,1214
2030,2019-06-14,2,24,APARTAMENTO,1341
2031,2018-12-13,24,5,APARTAMENTO,1751
2032,2019-03-27,12,11,APARTAMENTO,1744
2033,2019-03-15,28,29,APARTAMENTO,1709
2034,2019-08-05,12,3,HABITACION,1728
2035,2019-02-10,4,17,HABITACION,1926
2036,2020-02-11,30,2,APARTAMENTO,1205
2037,2020-03-01,12,30,HABITACION,1444
2038,2019-09-25,30,5,APARTAMENTO,1102
2039,2019-12-03,11,5,HABITACION,1311
2040,2019-06-14,4,6,APARTAMENTO,1261
2041,2019-02-04,19,33,HABITACION,1597
2042,2018-12-22,27,4,APARTAMENTO,1045
2043,2019-06-05,8,22,HABITACION,1101
2044,2019-10-25,18,23,HABITACION,1014
2045,2020-05-20,12,13,HABITACION,1822
2046,2018-12-02,14,3,APARTAMENTO,1208
2047,2020-04-16,25,12,HABITACION,1684
2048,2019-06-20,24,25,APARTAMENTO,1257
2049,2019-12-11,17,31,APARTAMENTO,1885
2050,2020-03-23,7,12,APARTAMENTO,1867
2051,2020-02-08,27,17,APARTAMENTO,1369
2052,2019-11-17,10,5,HABITACION,1298
2053,2019-12-14,29,32,HABITACION,1744
2054,2019-09-05,1,10,APARTAMENTO,1977
2055,2020-04-27,21,27,APARTAMENTO,1707
2056,2020-03-22,10,33,APARTAMENTO,1763
2057,2019-11-03,13,39,APARTAMENTO,1422
2058,2020-04-16,23,12,APARTAMENTO,1054
2059,2019-09-18,23,15,APARTAMENTO,1185
2060,2019-08-14,17,14,APARTAMENTO,1575
2061,2019-06-05,24,7,HABITACION,1653
2062,2019-02-19,4,15,HABITACION,1176
2063,2020-03-26,18,6,APARTAMENTO,1647
2064,2019-07-09,14,1,APARTAMENTO,1984
2065,2019-06-04,30,33,APARTAMENTO,1147
2066,2019-12-14,25,32,HABITACION,1961
2067,2019-01-08,24,35,HABITACION,1746
2068,2019-03-24,26,33,HABITACION,1774
2069,2018-10-24,27,23,HABITACION,1593
2070,2019-05-14,1,30,HABITACION,1474
2071,2018-10-28,30,28,APARTAMENTO,1235
2072,2019-02-05,11,34,APARTAMENTO,1341
2073,2019-09-17,25,30,HABITACION,1985
2074,2019-05-01,21,23,HABITACION,1765
2075,2018-12-30,15,32,APARTAMENTO,1090
2076,2019-04-16,23,24,APARTAMENTO,1495
2077,2019-02-17,5,27,APARTAMENTO,1522
2078,2019-07-30,4,18,APARTAMENTO,1009
2079,2020-03-22,11,34,HABITACION,1727
2080,2019-03-21,15,31,APARTAMENTO,1474
2081,2020-03-21,2,33,APARTAMENTO,1484
2082,2019-07-17,7,22,HABITACION,1423
2083,2018-11-10,12,36,APARTAMENTO,1319
2084,2020-02-25,14,3,APARTAMENTO,1139
2085,2019-10-24,22,6,APARTAMENTO,1809
2086,2019-01-04,6,7,APARTAMENTO,1251
