id,tipo,precio,intervalo pago,propiedad
5001,Health,147.45,29,2407
5002,Computers,200.7,68,2367
5003,Outdoors,414.89,38,2595
5004,Industrial,359.52,32,2244
5005,Shoes,449.78,16,2028
5006,Electronics,33.87,31,2719
5007,Clothing,61.26,10,2233
5008,Beauty,362.82,80,2956
5009,Movies,426.04,51,2470
5010,Grocery,448.64,51,2465
5011,Clothing,303.59,2,2120
5012,Garden,132.24,74,2774
5013,Music,493.44,47,2350
5014,Kids,272.7,85,2351
5015,Industrial,448.76,54,2814
5016,Garden,473.56,16,2488
5017,Games,97.59,88,2764
5018,Garden,405.78,26,2169
5019,Games,146.98,8,2495
5020,Sports,469.61,60,2237
5021,Home,142.14,41,2747
5022,Clothing,25.09,15,2819
5023,Movies,315.55,74,2665
5024,Clothing,112.12,72,2800
5025,Baby,38.84,49,2028
5026,Baby,67.92,66,2081
5027,Home,165.78,39,2473
5028,Kids,305.86,2,2445
5029,Jewelery,484.89,84,2172
5030,Electronics,17.3,9,2605
5031,Computers,403.58,67,2240
5032,Tools,400.69,36,2176
5033,Grocery,485.5,36,2191
5034,Grocery,199.54,18,2862
5035,Outdoors,81.75,41,2204
5036,Music,485.35,49,2283
5037,Books,164.8,42,2128
5038,Outdoors,21.71,28,2845
5039,Books,46.88,80,2454
5040,Home,398.31,21,2744
5041,Jewelery,102.43,3,2478
5042,Clothing,339.47,67,2221
5043,Sports,410.66,60,2749
5044,Baby,293.83,78,2339
5045,Home,309.15,82,2911
5046,Kids,53.77,66,2411
5047,Music,127.39,63,2004
5048,Music,277.1,14,2498
5049,Books,376.24,67,2229
5050,Books,53.07,10,2006
5051,Toys,313.54,85,2326
5052,Kids,176.33,72,2191
5053,Sports,232.13,82,2245
5054,Baby,162.7,21,2787
5055,Books,45.96,22,2185
5056,Jewelery,265.91,73,2667
5057,Health,5.57,86,2956
5058,Movies,212.72,8,2837
5059,Home,136.9,86,2288
5060,Toys,306.69,57,2986
5061,Baby,94.64,1,2786
5062,Computers,413.07,37,2278
5063,Sports,406.8,4,2416
5064,Books,294.73,42,2199
5065,Industrial,110.69,55,2935
5066,Grocery,272.33,24,2354
5067,Music,115.26,41,2374
5068,Beauty,283.69,41,2573
5069,Games,322.61,56,2737
5070,Garden,405.06,78,2413
5071,Movies,360.04,2,2537
5072,Outdoors,376.95,40,2304
5073,Books,186.08,63,2833
5074,Games,96.13,76,2905
5075,Beauty,489.13,80,2152
5076,Games,99.1,6,2087
5077,Industrial,473.55,77,2119
5078,Tools,301.44,13,2104
5079,Books,4.61,68,2586
5080,Clothing,68.16,72,2689
5081,Tools,272.06,35,2129
5082,Outdoors,395.4,1,2238
5083,Music,187.73,60,2115
5084,Beauty,242.34,10,2602
5085,Kids,189.09,18,2881
5086,Home,407.86,8,2705
5087,Books,436.15,69,2432
5088,Grocery,124.46,81,2575
5089,Health,69.72,43,2479
5090,Sports,306.13,51,2728
5091,Shoes,416.4,48,2835
5092,Shoes,102.0,42,2259
5093,Music,143.03,57,2966
5094,Electronics,120.07,36,2201
5095,Beauty,491.27,35,2327
5096,Shoes,70.69,29,2558
5097,Games,48.98,55,2181
5098,Movies,435.38,64,2647
5099,Toys,189.67,51,2232
5100,Health,163.94,74,2216
5101,Health,124.48,80,2384
5102,Automotive,78.28,50,2977
5103,Industrial,318.35,34,2011
5104,Automotive,291.44,37,2644
5105,Electronics,103.9,82,2743
5106,Beauty,52.01,39,2030
5107,Games,370.74,71,2420
5108,Health,294.5,23,2981
5109,Electronics,496.57,52,2642
5110,Computers,200.05,11,2120
5111,Movies,325.9,17,2242
5112,Health,178.56,76,2205
5113,Outdoors,312.86,78,2083
5114,Kids,284.98,56,2637
5115,Beauty,375.93,34,2138
5116,Health,42.61,46,2987
5117,Games,497.17,31,2100
5118,Clothing,342.85,4,2879
5119,Shoes,388.35,19,2232
5120,Movies,350.51,37,2082
5121,Movies,388.09,39,2064
5122,Industrial,371.81,33,2978
5123,Jewelery,188.35,24,2151
5124,Computers,313.92,74,2022
5125,Industrial,73.47,12,2005
5126,Shoes,192.76,8,2582
5127,Games,133.82,47,2028
5128,Industrial,276.1,36,2423
5129,Movies,150.6,68,2620
5130,Books,88.44,47,2397
5131,Tools,275.35,23,2212
5132,Garden,415.77,1,2088
5133,Health,15.5,1,2425
5134,Health,236.65,82,2025
5135,Grocery,437.14,86,2875
5136,Automotive,493.21,44,2920
5137,Sports,333.2,59,2122
5138,Computers,171.29,61,2245
5139,Kids,459.79,62,2559
5140,Baby,406.54,21,2573
5141,Grocery,332.86,7,2959
5142,Jewelery,450.89,20,2200
5143,Home,229.31,79,2968
5144,Clothing,41.17,25,2474
5145,Outdoors,447.39,24,2951
5146,Tools,93.63,62,2749
5147,Jewelery,156.01,42,2246
5148,Grocery,485.22,42,2272
5149,Home,339.22,70,2400
5150,Industrial,496.62,58,2915
5151,Jewelery,189.7,29,2561
5152,Baby,400.85,33,2883
5153,Beauty,33.09,89,2469
5154,Books,310.66,32,2242
5155,Home,89.12,29,2569
5156,Electronics,403.99,29,2674
5157,Home,25.04,37,2062
5158,Movies,170.23,8,2190
5159,Grocery,287.85,47,2726
5160,Books,93.1,22,2433
5161,Garden,440.33,73,2413
5162,Home,364.77,24,2642
5163,Jewelery,474.96,8,2575
5164,Electronics,329.45,22,2009
5165,Outdoors,497.86,53,2941
5166,Computers,105.85,14,2036
5167,Computers,66.14,27,2519
5168,Movies,481.06,26,2525
5169,Computers,78.66,52,2366
5170,Music,90.11,84,2062
5171,Health,205.85,8,2305
5172,Books,420.81,55,2873
5173,Beauty,269.88,12,2567
5174,Tools,144.2,67,2806
5175,Computers,436.17,48,2927
5176,Garden,218.59,69,2993
5177,Computers,313.86,87,2243
5178,Sports,470.25,71,2743
5179,Music,418.21,7,2958
5180,Sports,125.92,65,2289
5181,Jewelery,469.98,21,2815
5182,Automotive,253.2,81,2475
5183,Games,392.03,9,2853
5184,Computers,208.07,54,2487
5185,Health,256.08,63,2842
5186,Kids,117.26,31,2318
5187,Games,473.25,25,2860
5188,Games,333.82,53,2318
5189,Shoes,459.31,5,2404
5190,Movies,95.39,90,2350
5191,Beauty,3.42,66,2581
5192,Electronics,41.94,36,2744
5193,Music,173.29,5,2317
5194,Grocery,52.34,3,2698
5195,Jewelery,458.21,45,2065
5196,Industrial,22.59,50,2441
5197,Kids,65.08,13,2603
5198,Games,384.07,34,2894
5199,Home,70.36,27,2554
5200,Books,446.55,57,2508
5201,Industrial,394.85,58,2575
5202,Grocery,371.24,53,2108
5203,Music,127.21,79,2985
5204,Kids,269.71,11,2770
5205,Games,107.89,65,2123
5206,Automotive,361.62,65,2766
5207,Health,458.68,62,2247
5208,Movies,72.19,14,2407
5209,Outdoors,297.68,27,2095
5210,Shoes,338.08,64,2323
5211,Computers,201.43,22,2982
5212,Industrial,304.88,20,2572
5213,Games,464.81,16,2669
5214,Garden,369.32,76,2364
5215,Home,156.44,19,2028
5216,Toys,436.33,54,2187
5217,Movies,305.32,9,2788
5218,Sports,323.67,31,2884
5219,Baby,375.9,26,2223
5220,Tools,31.64,63,2819
5221,Toys,250.72,17,2265
5222,Games,179.12,40,2452
5223,Garden,97.23,8,2389
5224,Home,230.79,76,2486
5225,Kids,185.44,47,2674
5226,Music,307.02,88,2479
5227,Toys,138.4,1,2813
5228,Toys,388.27,29,2071
5229,Industrial,494.91,82,2480
5230,Outdoors,36.42,51,2162
5231,Music,331.51,2,2772
5232,Garden,56.35,27,2231
5233,Sports,373.66,33,2019
5234,Sports,466.14,59,2849
5235,Music,462.81,33,2918
5236,Automotive,246.51,90,2483
5237,Beauty,407.8,76,2894
5238,Sports,456.68,12,2454
5239,Kids,340.9,67,2085
5240,Health,298.19,56,2624
5241,Tools,419.75,68,2956
5242,Jewelery,198.85,73,2813
5243,Home,166.02,65,2368
5244,Sports,251.84,59,2370
5245,Home,176.71,67,2522
5246,Sports,115.64,4,2910
5247,Garden,378.83,70,2310
5248,Shoes,351.77,75,2856
5249,Games,420.15,51,2131
5250,Health,99.17,76,2974
5251,Industrial,130.37,77,2649
5252,Sports,292.89,8,2150
5253,Music,128.19,29,2980
5254,Industrial,363.18,59,2774
5255,Baby,179.78,89,2124
5256,Shoes,492.68,23,2401
5257,Jewelery,443.51,88,2840
5258,Baby,370.74,59,2857
5259,Computers,318.85,52,2804
5260,Kids,137.34,11,2179
5261,Shoes,179.48,13,2293
5262,Toys,263.48,64,2078
5263,Baby,478.67,59,2497
5264,Outdoors,449.96,38,2498
5265,Movies,119.52,69,2194
5266,Beauty,75.99,68,2283
5267,Home,481.93,18,2522
5268,Music,253.84,12,2499
5269,Shoes,222.97,4,2205
5270,Outdoors,86.3,30,2406
5271,Baby,115.78,63,2373
5272,Jewelery,193.17,59,2315
5273,Home,280.45,72,2044
5274,Music,373.95,87,2860
5275,Jewelery,365.77,20,2214
5276,Industrial,16.56,69,2058
5277,Automotive,85.76,68,2572
5278,Shoes,190.52,33,2217
5279,Outdoors,140.07,45,2721
5280,Automotive,153.26,69,2660
5281,Baby,449.46,48,2057
5282,Electronics,388.66,11,2934
5283,Home,312.67,30,2214
5284,Industrial,330.3,73,2843
5285,Outdoors,19.15,71,2412
5286,Garden,228.43,22,2810
5287,Games,253.02,13,2468
5288,Clothing,397.9,14,2111
5289,Beauty,480.5,58,2494
5290,Outdoors,237.48,64,2789
5291,Kids,290.67,74,2509
5292,Books,165.04,49,2147
5293,Toys,346.45,77,2159
5294,Industrial,333.61,74,2783
5295,Sports,335.1,56,2838
5296,Shoes,142.61,32,2359
5297,Computers,392.95,1,2251
5298,Jewelery,68.81,63,2926
5299,Garden,31.51,13,2271
5300,Games,224.0,81,2305
5301,Sports,440.05,10,2700
5302,Books,483.55,36,2883
5303,Automotive,196.06,59,2220
5304,Tools,422.84,56,2783
5305,Sports,346.49,60,2997
5306,Shoes,284.29,75,2830
5307,Music,254.15,30,2904
5308,Baby,14.71,30,2313
5309,Garden,90.69,9,2775
5310,Games,262.43,62,2923
5311,Music,327.18,50,2270
5312,Toys,324.06,47,2402
5313,Home,62.38,12,2516
5314,Computers,314.99,63,2931
5315,Home,285.81,2,2793
5316,Baby,420.05,90,2699
5317,Beauty,87.21,49,2933
5318,Home,443.34,9,2615
5319,Shoes,44.33,11,2404
5320,Music,98.46,37,2971
5321,Computers,454.49,48,2280
5322,Outdoors,490.62,74,2488
5323,Toys,307.04,67,2312
5324,Automotive,491.86,65,2191
5325,Shoes,150.54,41,2709
5326,Movies,201.94,35,2014
5327,Clothing,208.67,32,2088
5328,Books,357.82,61,2990
5329,Industrial,497.63,83,2598
5330,Health,418.84,81,2342
5331,Grocery,489.89,89,2042
5332,Automotive,180.58,12,2801
5333,Baby,94.86,36,2232
5334,Automotive,200.25,3,2779
5335,Baby,315.65,6,2481
5336,Books,55.45,56,2390
5337,Tools,370.8,62,2482
5338,Movies,311.23,63,2732
5339,Music,490.92,23,2763
5340,Grocery,314.79,58,2656
5341,Jewelery,459.64,8,2215
5342,Clothing,474.07,84,2253
5343,Books,420.69,40,3000
5344,Health,449.33,5,2241
5345,Industrial,131.29,14,2602
5346,Home,416.38,44,2312
5347,Garden,344.47,6,2187
5348,Sports,262.04,31,2689
5349,Music,313.1,67,2310
5350,Books,256.09,85,2859
5351,Sports,226.78,17,2122
5352,Baby,34.62,55,2065
5353,Beauty,197.32,31,2084
5354,Garden,208.03,38,2613
5355,Baby,209.57,68,2560
5356,Beauty,91.26,4,2914
5357,Grocery,113.16,8,2242
5358,Health,252.66,41,2141
5359,Sports,149.73,45,2366
5360,Tools,236.77,42,2034
5361,Outdoors,41.22,13,2888
5362,Industrial,70.78,46,2117
5363,Clothing,384.5,57,2149
5364,Tools,248.59,48,2803
5365,Movies,60.42,33,2202
5366,Games,109.14,47,2186
5367,Shoes,173.27,62,2019
5368,Beauty,53.1,19,2770
5369,Movies,293.59,68,2094
5370,Computers,468.6,73,2999
5371,Grocery,199.37,79,2805
5372,Tools,137.71,3,2536
5373,Tools,183.87,20,2626
5374,Clothing,191.88,76,2062
5375,Tools,256.39,29,2601
5376,Music,220.35,1,2610
5377,Tools,142.51,22,2500
5378,Industrial,186.7,12,2186
5379,Grocery,99.05,83,2550
5380,Garden,107.83,51,2941
5381,Garden,367.34,50,2446
5382,Kids,86.71,9,2458
5383,Clothing,279.94,62,2113
5384,Shoes,480.24,49,2417
5385,Electronics,255.6,41,2740
5386,Garden,379.53,7,2664
5387,Garden,277.55,41,2501
5388,Music,42.52,45,2748
5389,Baby,326.41,80,2822
5390,Books,432.17,31,2341
5391,Music,250.78,5,2676
5392,Books,217.06,23,2654
5393,Beauty,44.28,63,2606
5394,Automotive,326.66,30,2531
5395,Baby,9.48,68,2955
5396,Kids,102.74,42,2348
5397,Electronics,77.43,23,2673
5398,Beauty,19.77,82,2417
5399,Outdoors,210.83,34,2683
5400,Baby,315.39,75,2477
5401,Computers,320.49,44,2795
5402,Shoes,7.14,40,2373
5403,Tools,46.47,75,2774
5404,Beauty,366.3,75,2919
5405,Games,31.31,50,2187
5406,Home,75.58,59,2770
5407,Movies,277.02,3,2426
5408,Health,186.42,87,2206
5409,Books,440.48,4,2418
5410,Garden,399.31,90,2420
5411,Tools,307.16,73,2911
5412,Kids,18.44,21,2408
5413,Garden,163.11,31,2510
5414,Clothing,351.8,69,2813
5415,Outdoors,350.86,54,2333
5416,Music,276.56,39,2766
5417,Clothing,480.26,47,2604
5418,Shoes,247.35,69,2247
5419,Kids,249.86,3,2844
5420,Tools,463.56,77,2401
5421,Music,118.05,21,2358
5422,Shoes,187.94,85,2724
5423,Automotive,269.93,14,2775
5424,Jewelery,81.83,47,2528
5425,Music,451.67,74,2924
5426,Sports,402.84,12,2500
5427,Home,86.78,11,2777
5428,Beauty,139.33,29,2767
5429,Industrial,332.29,62,2661
5430,Industrial,412.82,30,2309
5431,Movies,189.01,67,2912
5432,Jewelery,211.26,20,2606
5433,Music,354.15,18,2660
5434,Shoes,138.39,87,2891
5435,Movies,165.47,60,2399
5436,Games,88.27,52,2430
5437,Games,384.81,38,2583
5438,Toys,212.73,5,2568
5439,Garden,110.14,17,2915
5440,Garden,242.81,56,2437
5441,Industrial,398.24,57,2843
5442,Toys,424.12,82,2516
5443,Health,491.6,52,2173
5444,Sports,32.7,56,2690
5445,Baby,190.34,9,2795
5446,Tools,76.16,31,2245
5447,Health,65.57,65,2814
5448,Sports,147.76,74,2747
5449,Industrial,423.07,59,2211
5450,Jewelery,331.72,65,2582
5451,Games,215.06,22,2056
5452,Grocery,391.99,72,2613
5453,Home,396.77,58,2474
5454,Industrial,137.93,75,2799
5455,Automotive,322.74,22,2127
5456,Toys,43.68,79,2406
5457,Outdoors,58.0,61,2471
5458,Beauty,458.22,56,2880
5459,Books,254.29,89,2241
5460,Beauty,130.21,39,2676
5461,Outdoors,181.69,23,2017
5462,Shoes,155.02,17,2254
5463,Beauty,454.38,32,2368
5464,Health,16.11,44,2144
5465,Electronics,286.62,40,2212
5466,Games,457.97,85,2565
5467,Movies,42.29,8,2325
5468,Beauty,365.46,11,2137
5469,Computers,159.32,44,2657
5470,Beauty,142.41,3,2873
5471,Shoes,237.78,54,2429
5472,Kids,61.75,77,2780
5473,Beauty,159.16,81,2621
5474,Music,490.35,33,2666
5475,Baby,234.72,62,2336
5476,Books,216.12,81,2442
5477,Home,404.15,60,2839
5478,Baby,175.06,66,2930
5479,Baby,391.37,14,2895
5480,Clothing,292.95,52,2489
5481,Garden,122.27,75,2027
5482,Movies,39.99,43,2070
5483,Music,417.6,17,2946
5484,Movies,388.84,56,2941
5485,Sports,255.53,29,2464
5486,Automotive,27.68,81,2741
5487,Kids,293.5,22,2663
5488,Automotive,46.43,31,2519
5489,Electronics,79.38,6,2763
5490,Garden,215.05,67,2658
5491,Movies,127.86,81,2632
5492,Games,190.68,74,2422
5493,Movies,121.35,62,2379
5494,Garden,339.04,52,2320
5495,Beauty,387.01,77,2158
5496,Books,299.65,9,2772
5497,Automotive,468.39,16,2074
5498,Music,61.1,35,2241
5499,Kids,322.24,9,2649
5500,Clothing,409.5,86,2730
5501,Toys,469.69,90,2563
5502,Industrial,224.4,73,2235
5503,Shoes,273.01,29,2206
5504,Baby,157.76,76,2684
5505,Shoes,140.74,60,2325
5506,Automotive,66.45,20,2054
5507,Health,165.93,9,2948
5508,Sports,263.67,65,2033
