id,tipo,precio,intervalo pago,propiedad
4001,Grocery,54.44,47,2567
4002,Shoes,20.42,12,2491
4003,Clothing,406.96,90,2592
4004,Beauty,404.34,74,2043
4005,Tools,335.21,58,2196
4006,Grocery,234.98,43,2548
4007,Music,65.25,16,2655
4008,Games,437.02,13,2477
4009,Home,298.33,31,2009
4010,Jewelery,53.91,4,2524
4011,Sports,369.27,66,2027
4012,Toys,456.69,51,2599
4013,Home,353.36,27,2061
4014,Garden,51.22,62,2895
4015,Books,429.21,66,2869
4016,Clothing,314.09,39,2334
4017,Toys,85.44,42,2508
4018,Automotive,141.25,43,2605
4019,Clothing,70.08,86,2628
4020,Outdoors,89.61,81,2330
4021,Toys,385.38,90,2100
4022,Grocery,118.67,7,2455
4023,Grocery,80.62,58,2606
4024,Computers,433.47,5,2619
4025,Music,452.07,73,2158
4026,Kids,470.77,11,2597
4027,Jewelery,431.37,68,2552
4028,Books,439.45,77,2587
4029,Movies,291.8,13,2793
4030,Books,445.71,47,2454
4031,Home,61.6,1,2331
4032,Baby,264.88,12,2443
4033,Electronics,381.98,36,2491
4034,Garden,420.66,89,2177
4035,Books,462.77,75,2606
4036,Movies,446.14,32,2602
4037,Shoes,7.69,20,2161
4038,Shoes,216.65,2,2803
4039,Shoes,101.89,73,2931
4040,Electronics,349.92,59,2473
4041,Kids,414.05,22,2049
4042,Health,454.37,55,2093
4043,Toys,193.3,46,2693
4044,Sports,355.2,83,2556
4045,Kids,471.39,86,2098
4046,Grocery,220.24,35,2763
4047,Books,103.16,74,2849
4048,Garden,59.36,39,2617
4049,Movies,38.13,1,2328
4050,Health,215.44,47,2793
4051,Home,217.74,57,2258
4052,Tools,268.94,42,2733
4053,Garden,367.31,15,2481
4054,Grocery,308.19,24,2819
4055,Sports,297.74,38,2526
4056,Health,301.79,51,2229
4057,Beauty,373.34,45,2344
4058,Outdoors,373.22,56,2077
4059,Computers,83.33,46,2579
4060,Kids,359.88,58,2080
4061,Clothing,57.21,43,2935
4062,Music,476.47,64,2029
4063,Tools,361.92,35,2909
4064,Tools,149.51,81,2330
4065,Industrial,260.44,58,2284
4066,Beauty,381.0,76,2157
4067,Automotive,201.2,25,2358
4068,Industrial,497.42,4,2463
4069,Music,134.26,85,2764
4070,Movies,343.86,85,2261
4071,Outdoors,371.1,74,2087
4072,Shoes,297.61,56,2348
4073,Tools,373.92,79,2187
4074,Books,99.17,28,2344
4075,Books,471.16,10,2987
4076,Garden,251.81,57,2794
4077,Beauty,29.72,30,2051
4078,Kids,193.84,66,2188
4079,Grocery,478.41,66,2920
4080,Electronics,4.49,50,2276
4081,Music,133.25,15,2756
4082,Grocery,469.43,40,2101
4083,Health,171.73,9,2833
4084,Tools,427.63,30,2984
4085,Kids,374.1,58,2104
4086,Home,260.41,67,2267
4087,Sports,166.24,88,2535
4088,Health,61.29,85,2684
4089,Toys,49.55,10,2111
4090,Music,22.74,42,2952
4091,Beauty,236.58,40,2950
4092,Beauty,433.83,75,2591
4093,Health,49.08,17,2676
4094,Sports,38.65,1,2498
4095,Automotive,477.06,64,2946
4096,Books,43.88,60,2955
4097,Tools,144.16,15,2901
4098,Tools,269.33,37,2326
4099,Health,405.78,4,2754
4100,Kids,421.25,42,2333
4101,Computers,59.99,24,2181
4102,Grocery,448.21,14,2792
4103,Industrial,112.75,83,2613
4104,Baby,36.46,43,2879
4105,Outdoors,281.46,61,2097
4106,Outdoors,275.2,24,2005
4107,Tools,354.69,64,2477
4108,Jewelery,89.03,83,2067
4109,Sports,34.55,12,2389
4110,Jewelery,132.09,27,2288
4111,Sports,422.74,63,2465
4112,Electronics,161.39,80,2299
4113,Sports,233.49,47,2876
4114,Games,21.64,49,2919
4115,Clothing,344.14,39,2348
4116,Games,155.76,16,2939
4117,Games,402.38,62,2843
4118,Clothing,455.18,67,2654
4119,Toys,21.28,54,2027
4120,Industrial,93.6,48,2221
4121,Books,361.2,25,2367
4122,Electronics,319.25,67,2631
4123,Kids,190.72,53,2519
4124,Sports,233.97,68,2125
4125,Beauty,39.3,87,2881
4126,Games,220.32,70,2700
4127,Garden,419.12,27,2315
4128,Computers,362.43,53,2156
4129,Games,473.59,36,2791
4130,Automotive,387.96,52,2995
4131,Outdoors,324.52,45,2949
4132,Industrial,370.18,33,2287
4133,Music,295.88,73,2595
4134,Games,335.22,37,2086
4135,Games,273.24,38,2206
4136,Grocery,5.23,15,2347
4137,Games,7.95,8,2449
4138,Automotive,31.49,55,2364
4139,Grocery,51.22,75,2460
4140,Games,18.73,9,2370
4141,Movies,129.14,22,2533
4142,Clothing,410.88,15,2936
4143,Clothing,383.04,66,2584
4144,Computers,96.98,13,2553
4145,Garden,471.0,22,2300
4146,Computers,385.79,87,2425
4147,Tools,45.95,80,2737
4148,Baby,328.59,24,2853
4149,Games,392.67,50,2021
4150,Tools,480.56,68,2096
4151,Electronics,132.43,44,2631
4152,Grocery,447.35,42,2567
4153,Baby,369.03,84,2879
4154,Movies,495.72,53,2247
4155,Shoes,244.12,60,2700
4156,Sports,169.36,48,2358
4157,Shoes,88.89,75,2885
4158,Garden,175.2,44,2495
4159,Computers,461.55,69,2706
4160,Movies,179.74,10,2090
4161,Computers,30.65,15,2681
4162,Garden,334.98,75,2671
4163,Grocery,235.45,75,2463
4164,Sports,391.96,27,2987
4165,Movies,85.04,34,2915
4166,Baby,59.46,29,2602
4167,Beauty,220.69,41,2712
4168,Home,2.9,5,2485
4169,Beauty,55.03,4,2534
4170,Computers,83.82,79,2080
4171,Movies,398.34,43,2011
4172,Computers,8.2,3,2842
4173,Books,94.22,6,2684
4174,Jewelery,93.05,85,2837
4175,Games,342.97,84,2769
4176,Industrial,468.82,15,2695
4177,Outdoors,366.77,45,2119
4178,Industrial,489.78,87,2697
4179,Beauty,5.92,3,2893
4180,Music,34.27,56,2043
4181,Home,57.07,36,2752
4182,Games,269.93,9,2782
4183,Automotive,37.61,26,2294
