id,capacidad,precio,tamanio,diasReservados,fechaCreacion,habilitada,operador
1001,14,181.83,193.3,95,2017-10-05,1,_toferrisnl
1002,12,234.86,380.4,31,2018-11-24,1,_lstaggez
1003,15,591.28,151.1,4,2018-06-26,0,_rhaslehurst4l
1004,3,560.31,87.6,92,2017-09-17,0,_uterrettkv
1005,13,506.28,493.0,62,2017-08-20,1,_lbehrendkl
1006,15,520.37,238.9,25,2020-05-09,1,_pkeaveneyms
1007,2,668.73,398.0,10,2018-03-11,1,_fhinkensen9u
1008,4,939.66,381.5,6,2019-05-22,1,_govettkj
1009,7,53.97,85.2,52,2017-09-28,0,_vhabert4b
1010,1,963.7,25.2,59,2019-04-13,1,_bcockke
1011,20,400.07,108.0,0,2019-03-21,1,_ccoleman6t
1012,10,676.65,178.5,68,2019-02-19,1,_spetfordpw
1013,3,206.69,419.3,6,2018-06-20,0,_lreeken83
1014,15,735.24,79.9,69,2020-02-29,0,_rgabitshv
1015,2,459.25,98.7,19,2018-06-01,1,_znormanvillca
1016,4,491.59,468.5,50,2020-03-18,1,_kkupechi
1017,4,780.94,294.7,84,2019-02-06,1,_ptomankiewiczlt
1018,5,172.81,101.4,69,2019-06-02,0,_gseamen5d
1019,3,168.68,18.8,48,2019-03-24,0,_ciskowerk0
1020,18,946.32,158.5,73,2020-01-21,0,_ksaysei5
1021,5,954.22,258.0,78,2018-01-27,1,_ccamlinb5
1022,17,348.15,492.6,9,2018-11-12,0,_kwinckles7q
1023,8,421.25,496.5,24,2017-10-02,1,_kwasse4
1024,8,709.72,252.9,75,2018-08-11,0,_mbussel7g
1025,12,837.34,51.2,87,2018-01-23,0,_jnutt4k
1026,13,756.08,476.8,57,2019-02-15,1,_cyurkin64
1027,19,234.21,382.0,49,2017-10-08,0,_rblewittlg
1028,15,615.02,232.2,74,2018-07-05,1,_hkempe1z
1029,13,702.35,235.8,8,2017-11-21,1,_patgern8
1030,20,362.51,411.6,59,2018-01-13,0,_ahurdis7p
1031,2,165.08,279.4,3,2019-02-06,1,_ecorssenci
1032,7,136.95,252.4,57,2019-03-11,0,_glissemore8g
1033,10,960.23,383.4,42,2018-04-10,0,_lsuddaby6y
1034,7,464.95,465.9,14,2018-08-30,1,_rknappette8
1035,10,404.88,288.3,52,2020-02-06,0,_dtrevenuge
1036,20,186.3,468.0,75,2018-06-17,1,_jsymcockj8
1037,10,371.49,153.3,14,2019-09-29,1,_lpamplinpo
1038,17,735.29,36.8,15,2018-10-09,1,_wkarpychevpd
