id,capacidad,precio,tamanio,diasReservados,fechaCreacion,habilitada,operador
1,15,794.41,100.8,13,2019-08-14,1,-cborrott3j
2,13,732.26,201.0,92,2018-08-03,1,-tmacquaker8m
3,16,889.82,365.4,80,2019-05-22,0,-ffortunk0
4,4,133.63,159.7,22,2018-07-26,1,-dturnork3
5,2,675.88,38.6,16,2019-05-01,1,-dtownsongc
6,19,310.42,409.9,65,2018-10-15,1,-abryns8e
7,4,489.94,422.1,60,2020-04-10,0,-ffarfolomeev25
8,9,566.97,153.4,60,2018-04-20,0,-candrez6d
9,3,386.52,469.8,16,2019-03-29,1,-vbirts95
10,1,928.86,132.9,10,2018-10-08,1,-ptribellab
11,13,855.8,299.9,44,2020-03-04,0,-mdoodney7s
12,14,572.67,401.1,38,2017-11-27,0,-tsarjentqk
13,4,898.1,113.7,88,2017-08-27,0,-gtaftgj
14,8,396.53,232.0,3,2018-03-20,0,-dkasbyefd
15,20,897.92,419.8,52,2018-03-18,1,-fsimmenaa
16,12,147.82,181.0,48,2019-11-11,1,-crichthd
17,3,302.82,490.8,57,2017-12-31,0,-mquade6j
18,11,450.78,14.9,6,2020-01-21,1,-hoclearyhf
19,7,935.86,239.8,58,2017-12-09,1,-sduncombefh
20,1,811.84,218.3,51,2019-11-06,0,-sfawloeco
21,19,747.31,393.1,83,2019-04-07,1,-couletlz
22,2,714.19,84.0,42,2020-03-29,0,-cjurewiczoh
23,1,694.09,258.9,28,2018-02-24,1,-syanshonokgt
24,9,600.29,487.0,36,2019-10-10,0,-surchok
25,7,812.49,497.9,16,2019-03-29,1,-dfylanb2
26,17,407.28,421.2,26,2018-10-30,1,-vgamerd
27,11,990.36,290.5,89,2017-08-18,1,-cleythleyjx
28,6,950.73,370.5,83,2018-12-29,0,-dwilcemp
29,15,471.54,489.3,55,2019-12-07,1,-yverdyx
30,16,741.22,100.7,30,2018-01-17,0,-mterbeckkd
31,9,511.76,435.9,12,2017-08-15,0,-tclementsonjq
32,2,360.7,56.8,78,2019-02-23,1,-cambrosics
33,19,434.29,148.3,7,2018-01-18,0,-arossinq1
34,9,64.32,342.2,80,2018-08-29,0,-aoneile35
35,6,675.02,259.0,48,2018-06-17,0,-jrivelon81
36,16,485.69,162.1,94,2019-08-14,0,-llomislt
37,13,48.22,482.0,15,2019-12-08,0,-apearne2m
38,4,67.81,398.6,68,2017-11-15,0,-gtaftgj
39,5,158.32,431.5,24,2020-03-02,0,-dmacgaffeyht
40,2,971.49,179.2,40,2018-08-18,0,-bbrotherheedr5
41,17,271.95,124.1,5,2018-07-24,0,-kdriscoll99
42,3,799.45,237.1,97,2017-11-13,0,-osydenhamb8
43,8,885.79,195.1,5,2019-05-05,1,-swarboys8d
44,14,609.73,386.4,5,2020-05-11,0,-roxendeno8
45,20,218.55,432.9,42,2017-08-12,1,-cdiproseiu
46,6,427.57,20.6,32,2018-04-02,1,-jedridgemm
47,17,777.85,137.5,77,2019-11-25,1,-mbabek1
48,19,147.13,273.3,75,2018-08-30,0,-abryns8e
49,15,536.64,136.6,45,2020-03-17,1,-cklyner14
